Time,cumulative_mean_fraction_lambda_W
310.5,0.531752
310.75,0.531752
311,0.531752
311.25,0.531752
311.5,0.531752
311.75,0.531752
312,0.531752
312.25,0.531752
312.5,0.531752
312.75,0.531752
313,0.531752
313.25,0.531752
313.5,0.531752
313.75,0.531752
314,0.531752
314.25,0.531752
314.5,0.531752
314.75,0.531752
315,0.531752
315.25,0.531752
315.5,0.531752
315.75,0.531752
316,0.531752
316.25,0.531752
316.5,0.531752
316.75,0.531752
317,0.531752
317.25,0.531752
317.5,0.531752
317.75,0.531752
318,0.531752
318.25,0.531752
318.5,0.531752
318.75,0.531752
319,0.531752
319.25,0.531752
319.5,0.531752
319.75,0.531752
320,0.531752
320.25,0.531752
320.5,0.531752
320.75,0.531752
321,0.531752
321.25,0.531752
321.5,0.531752
321.75,0.531752
322,0.531752
322.25,0.531752
322.5,0.531752
322.75,0.531752
323,0.531752
323.25,0.531752
323.5,0.531752
323.75,0.531752
324,0.531752
324.25,0.531752
324.5,0.531752
324.75,0.531752
325,0.531752
325.25,0.531752
325.5,0.531752
325.75,0.531752
326,0.531752
326.25,0.531752
326.5,0.531752
326.75,0.531752
327,0.531752
327.25,0.531752
327.5,0.531752
327.75,0.531752
328,0.531752
328.25,0.531752
328.5,0.531752
328.75,0.531752
329,0.531752
329.25,0.531752
329.5,0.531752
329.75,0.531752
330,0.531752
330.25,0.531752
330.5,0.531752
330.75,0.531752
331,0.531752
331.25,0.531752
331.5,0.531752
331.75,0.531752
332,0.531752
332.25,0.531752
332.5,0.531752
332.75,0.531752
333,0.531752
333.25,0.531752
333.5,0.531752
333.75,0.531752
334,0.531752
334.25,0.531752
334.5,0.531752
334.75,0.531752
335,0.531752
335.25,0.531752
335.5,0.531752
335.75,0.531752
336,0.531752
336.25,0.531752
336.5,0.531752
336.75,0.531752
337,0.531752
337.25,0.531752
337.5,0.531752
337.75,0.531752
338,0.531752
338.25,0.531752
338.5,0.531752
338.75,0.531752
339,0.531752
339.25,0.531752
339.5,0.531752
339.75,0.531752
340,0.531752
340.25,0.531752
340.5,0.531752
340.75,0.531752
341,0.531752
341.25,0.531752
341.5,0.531752
341.75,0.531752
342,0.531752
342.25,0.531752
342.5,0.531752
342.75,0.531752
343,0.531752
343.25,0.531752
343.5,0.531752
343.75,0.531752
344,0.531752
344.25,0.531752
344.5,0.531752
344.75,0.531752
345,0.531752
345.25,0.531752
345.5,0.531752
345.75,0.531752
346,0.531752
346.25,0.531752
346.5,0.531752
346.75,0.531752
347,0.531752
347.25,0.531752
347.5,0.531752
347.75,0.531752
348,0.531752
348.25,0.531752
348.5,0.531752
348.75,0.531752
349,0.531752
349.25,0.531752
349.5,0.531752
349.75,0.531752
350,0.531752
350.25,0.531752
350.5,0.531752
350.75,0.531752
351,0.531752
351.25,0.531752
351.5,0.531752
351.75,0.531752
352,0.531752
352.25,0.531752
352.5,0.531752
352.75,0.531752
353,0.531752
353.25,0.531752
353.5,0.531752
353.75,0.531752
354,0.531752
354.25,0.531752
354.5,0.531752
354.75,0.531752
355,0.531752
355.25,0.531752
355.5,0.531752
355.75,0.531752
356,0.531752
356.25,0.531752
356.5,0.531752
356.75,0.531752
357,0.531752
357.25,0.531752
357.5,0.531752
357.75,0.531752
358,0.531752
358.25,0.531752
358.5,0.531752
358.75,0.531752
359,0.531752
359.25,0.531752
359.5,0.531752
359.75,0.531752
360,0.531752
360.25,0.531752
360.5,0.531752
360.75,0.531752
361,0.531752
361.25,0.531752
361.5,0.531752
361.75,0.531752
362,0.531752
362.25,0.531752
362.5,0.531752
362.75,0.531752
363,0.531752
363.25,0.531752
363.5,0.531752
363.75,0.531752
364,0.531752
364.25,0.531752
364.5,0.531752
364.75,0.531752
365,0.531752
365.25,0.531752
365.5,0.531752
365.75,0.531752
366,0.531752
366.25,0.531752
366.5,0.531752
366.75,0.531752
367,0.531752
367.25,0.531752
367.5,0.531752
367.75,0.531752
368,0.531752
368.25,0.531752
368.5,0.531752
368.75,0.531752
369,0.531752
369.25,0.531752
369.5,0.531752
369.75,0.531752
370,0.531752
370.25,0.531752
370.5,0.531752
370.75,0.531752
371,0.531752
371.25,0.531752
371.5,0.531752
371.75,0.531752
372,0.531752
372.25,0.531752
372.5,0.531752
372.75,0.531752
373,0.531752
373.25,0.531752
373.5,0.531752
373.75,0.531752
374,0.531752
374.25,0.531752
374.5,0.531752
374.75,0.531752
375,0.531752
375.25,0.531752
375.5,0.531752
375.75,0.531752
376,0.531752
376.25,0.531752
376.5,0.531752
376.75,0.531752
377,0.531752
377.25,0.531752
377.5,0.531752
377.75,0.531752
378,0.531752
378.25,0.531752
378.5,0.531752
378.75,0.531752
379,0.531752
379.25,0.531752
379.5,0.531752
379.75,0.531752
380,0.531752
380.25,0.531752
380.5,0.531752
380.75,0.531752
381,0.531752
381.25,0.531752
381.5,0.531752
381.75,0.531752
