Time,susceptible_lambda_C
213.75,1.47088
214,1.76055
214.25,1.74737
214.5,2.21234
214.75,2.18317
215,2.18103
215.25,2.21504
215.5,2.06683
215.75,2.03932
216,2.0231
216.25,1.51894
216.5,1.52224
216.75,1.52171
217,1.48939
217.25,1.49323
217.5,1.56351
217.75,1.56914
218,1.13816
218.25,1.12886
218.5,1.14542
218.75,1.14566
219,1.19312
219.25,1.21764
219.5,1.18219
219.75,1.15357
220,1.03222
220.25,0.903133
220.5,0.899436
220.75,0.900159
221,0.563212
221.25,0.580855
221.5,0.57129
221.75,0.50668
222,0.508992
222.25,0.536704
222.5,0.475284
222.75,0.531654
223,0.544083
223.25,0.536276
223.5,0.464424
223.75,0.418064
224,0.427129
224.25,0.427001
224.5,0.428271
224.75,0.409761
225,0.51516
225.25,0.566698
225.5,0.561607
225.75,0.562022
226,0.407516
226.25,0.407888
226.5,0.435351
226.75,0.428266
227,0.470459
227.25,0.474255
227.5,0.474044
227.75,0.493033
228,0.486453
228.25,0.475645
228.5,0.807812
228.75,0.910659
229,0.903819
229.25,0.804287
229.5,0.802706
229.75,0.802702
230,0.709439
230.25,0.739142
230.5,0.580941
230.75,0.588583
231,0.592987
231.25,0.556598
231.5,0.582717
231.75,0.582717
232,0.568093
232.25,0.566431
232.5,0.580733
232.75,0.580733
233,0.575373
233.25,0.574787
233.5,0.568945
233.75,0.529056
234,0.527821
234.25,0.527821
234.5,0.571772
234.75,0.571757
235,0.593733
235.25,0.593822
235.5,0.593733
235.75,0.60281
236,0.604039
236.25,0.597419
236.5,0.597419
236.75,0.597419
237,0.59742
237.25,0.593734
237.5,0.593731
237.75,0.593731
238,0.57407
238.25,0.570496
238.5,0.570495
238.75,0.611247
239,0.570032
239.25,0.584694
239.5,0.584694
239.75,0.609083
240,0.628609
240.25,0.130208
240.5,0.0716314
240.75,0.0716314
241,0.0716314
241.25,0.0716314
241.5,0.0716294
241.75,0.0716294
242,0.0716294
242.25,0.0716294
242.5,0.0716294
242.75,0.0716294
243,0.0716294
243.25,0.0932747
243.5,0.0932747
243.75,0.0932747
244,0.0273523
244.25,0.0273523
244.5,0.0273523
244.75,0.0273523
245,0.0273523
245.25,0.0273523
245.5,0.0273523
245.75,0.0273523
246,0.0273523
246.25,0.0273523
246.5,0.0273523
246.75,0.0273523
247,0.0273523
247.25,0.0273523
247.5,0.0273523
247.75,0.0273523
248,0.0273523
248.25,0.0273523
248.5,0.0273523
248.75,0.0273523
249,0.0216453
249.25,0.0216453
249.5,0.0216453
249.75,0.0216453
250,0.0216453
250.25,0.0216453
250.5,0.0216453
250.75,0.0216453
251,0.0233977
251.25,0.0233977
251.5,0.0233977
251.75,0.0233977
252,0.0233977
252.25,0.00175244
252.5,0.00175244
252.75,0.00175244
253,0
253.25,0
253.5,0
253.75,0
254,0
254.25,0
254.5,0
254.75,0
255,0
255.25,0
255.5,0
255.75,0
256,0
256.25,0
256.5,0
256.75,0
257,0
257.25,0
257.5,0
257.75,0
258,0
258.25,0
258.5,0
258.75,0
259,0
259.25,0
259.5,0
259.75,0
260,0
260.25,0
260.5,0
260.75,0
261,0
261.25,0
261.5,0
261.75,0
262,0
262.25,0
262.5,0
262.75,0
263,0
263.25,0
263.5,0
263.75,0
264,0
264.25,0
264.5,0
264.75,0
265,0
265.25,0
265.5,0
265.75,0
266,0
266.25,0
266.5,0
266.75,0
267,0
267.25,0
267.5,0
267.75,0
268,0
268.25,0
268.5,0
268.75,0
269,0
269.25,0
269.5,0
269.75,0
270,0
270.25,0
270.5,0
270.75,0
271,0
271.25,0
271.5,0
271.75,0
272,0
272.25,0
272.5,0
272.75,0
273,0
273.25,0
273.5,0
273.75,0
274,0
274.25,0
274.5,0
274.75,0
275,0
275.25,0
275.5,0
275.75,0
276,0
276.25,0
276.5,0
276.75,0
277,0
277.25,0
277.5,0
277.75,0
278,0
278.25,0
278.5,0
278.75,0
279,0
279.25,0
279.5,0
279.75,0
280,0
280.25,0
280.5,0
280.75,0
281,0
281.25,0
281.5,0
281.75,0
282,0
282.25,0
282.5,0
282.75,0
283,0
283.25,0
283.5,0
283.75,0
284,0
284.25,0
284.5,0
284.75,0
285,0
285.25,0
285.5,0
285.75,0
286,0
286.25,0
286.5,0
286.75,0
287,0
287.25,0
287.5,0
287.75,0
288,0
288.25,0
288.5,0
288.75,0
289,0
289.25,0
289.5,0
289.75,0
290,0
290.25,0
290.5,0
290.75,0
291,0
291.25,0
291.5,0
291.75,0
292,0
