Time,normal_interactions,curtailed_interactions
326.75,774046,774046
327,774046,774046
327.25,774046,774046
327.5,774046,774046
327.75,774046,774046
328,774046,774046
328.25,774046,774046
328.5,774046,774046
328.75,774046,774046
329,774046,774046
329.25,774046,774046
329.5,774046,774046
329.75,774046,774046
330,774046,774046
330.25,774046,774046
330.5,774046,774046
330.75,774046,774046
331,774046,774046
331.25,774046,774046
331.5,774046,774046
331.75,774046,774046
332,774046,774046
332.25,774046,774046
332.5,774046,774046
332.75,774046,774046
333,774046,774046
333.25,774046,774046
333.5,774046,774046
333.75,774046,774046
334,774046,774046
334.25,774046,774046
334.5,774046,774046
334.75,774046,774046
335,774046,774046
335.25,774046,774046
335.5,774046,774046
335.75,774046,774046
336,774046,774046
336.25,774046,774046
336.5,774046,774046
336.75,774046,774046
337,774046,774046
337.25,774046,774046
337.5,774046,774046
337.75,774046,774046
338,774046,774046
338.25,774046,774046
338.5,774046,774046
338.75,774046,774046
339,774046,774046
339.25,774046,774046
339.5,774046,774046
339.75,774046,774046
340,774046,774046
340.25,774046,774046
340.5,774046,774046
340.75,774046,774046
341,774046,774046
341.25,774046,774046
341.5,774046,774046
341.75,774046,774046
342,774046,774046
342.25,774046,774046
342.5,774046,774046
342.75,774046,774046
343,774046,774046
343.25,774046,774046
343.5,774046,774046
343.75,774046,774046
344,774046,774046
344.25,774046,774046
344.5,774046,774046
344.75,774046,774046
345,774046,774046
345.25,774046,774046
345.5,774046,774046
345.75,774046,774046
346,774046,774046
346.25,774046,774046
346.5,774046,774046
346.75,774046,774046
347,774046,774046
347.25,774046,774046
347.5,774046,774046
347.75,774046,774046
348,774046,774046
348.25,774046,774046
348.5,774046,774046
348.75,774046,774046
349,774046,774046
349.25,774046,774046
349.5,774046,774046
349.75,774046,774046
350,774046,774046
350.25,774046,774046
350.5,774046,774046
350.75,774046,774046
351,774046,774046
351.25,774046,774046
351.5,774046,774046
351.75,774046,774046
352,774046,774046
352.25,774046,774046
352.5,774046,774046
352.75,774046,774046
353,774046,774046
353.25,774046,774046
353.5,774046,774046
353.75,774046,774046
354,774046,774046
354.25,774046,774046
354.5,774046,774046
354.75,774046,774046
355,774046,774046
355.25,774046,774046
355.5,774046,774046
355.75,774046,774046
356,774046,774046
356.25,774046,774046
356.5,774046,774046
356.75,774046,774046
357,774046,774046
357.25,774046,774046
357.5,774046,774046
357.75,774046,774046
358,774046,774046
358.25,774046,774046
358.5,774046,774046
358.75,774046,774046
359,774046,774046
359.25,774046,774046
359.5,774046,774046
359.75,774046,774046
360,774046,774046
360.25,774046,774046
360.5,774046,774046
360.75,774046,774046
361,774046,774046
361.25,774046,774046
361.5,774046,774046
361.75,774046,774046
362,774046,774046
362.25,774046,774046
362.5,774046,774046
362.75,774046,774046
363,774046,774046
363.25,774046,774046
363.5,774046,774046
363.75,774046,774046
364,774046,774046
364.25,774046,774046
364.5,774046,774046
364.75,774046,774046
365,774046,774046
365.25,774046,774046
365.5,774046,774046
