Time,mean_fraction_lambda_W
241.5,0.460808
241.75,0.495104
242,0.573451
242.25,0.437097
242.5,0.424632
242.75,0.411386
243,0.468591
243.25,0.568396
243.5,0.508787
243.75,0.42044
244,0.589545
244.25,0.504846
244.5,0.470808
244.75,0.50202
245,0.449562
245.25,0.487741
245.5,0.508772
245.75,0.441723
246,0.498982
246.25,0.487781
246.5,0.317321
246.75,0.462389
247,0.347629
247.25,0.501714
247.5,0.357259
247.75,0.544648
248,0.430821
248.25,0.444693
248.5,0.387704
248.75,0.446368
249,0.494134
249.25,0.629651
249.5,0.617618
249.75,0.484675
250,0.555425
250.25,0.608112
250.5,0.448961
250.75,0.408115
251,0.503173
251.25,0.496227
251.5,0.417564
251.75,0.43202
252,0.431536
252.25,0.465318
252.5,0.624219
252.75,0.444062
253,0.511053
253.25,0.502037
253.5,0.556982
253.75,0.605648
254,0.475253
254.25,0.478054
254.5,0.46722
254.75,0.445679
255,0.544099
255.25,0.476094
255.5,0.518351
255.75,0.418034
256,0.479675
256.25,0.442958
256.5,0.487483
256.75,0.546817
257,0.552812
257.25,0.465157
257.5,0.4366
257.75,0.417635
258,0.414977
258.25,0.48761
258.5,0.391259
258.75,0.482426
259,0.444837
259.25,0.43055
259.5,0.494558
259.75,0.470024
260,0.462716
260.25,0.52348
260.5,0.514679
260.75,0.520021
261,0.628397
261.25,0.614856
261.5,0.509319
261.75,0.366848
262,0.433272
262.25,0.512177
262.5,0.487899
262.75,0.598897
263,0.482185
263.25,0.509628
263.5,0.494383
263.75,0.443519
264,0.4412
264.25,0.476274
264.5,0.439552
264.75,0.383305
265,0.442039
265.25,0.438469
265.5,0.448561
265.75,0.457165
266,0.468662
266.25,0.472576
266.5,0.545707
266.75,0.556442
267,0.363707
267.25,0.496438
267.5,0.504565
267.75,0.412148
268,0.45878
268.25,0.486977
268.5,0.49077
268.75,0.450793
269,0.476764
269.25,0.419463
269.5,0.520457
269.75,0.47421
270,0.472678
270.25,0.421936
270.5,0.588509
270.75,0.53687
271,0.577489
271.25,0.512742
271.5,0.671315
271.75,0.510582
272,0.550594
272.25,0.514921
272.5,0.494696
272.75,0.458081
273,0.495558
273.25,0.549998
273.5,0.555195
273.75,0.607824
274,0.505968
274.25,0.568159
274.5,0.57477
274.75,0.505053
275,0.558186
275.25,0.4176
275.5,0.462343
275.75,0.610787
276,0.691513
276.25,0.645489
276.5,0.524007
276.75,0.540862
277,0.534343
277.25,0.485796
277.5,0.478883
277.75,0.511161
278,0.601908
278.25,0.454165
278.5,0.594146
278.75,0.426558
279,0.415795
279.25,0.48061
279.5,0.61286
279.75,0.558767
280,0.359435
280.25,0.373723
280.5,0.432889
280.75,0.415624
281,0.469564
281.25,0.530187
281.5,0.458191
281.75,0.581906
282,0.400801
282.25,0.57235
282.5,0.540142
282.75,0.661882
283,0.402957
283.25,0.668768
283.5,0.522027
283.75,0.516215
284,0.635101
284.25,0.446456
284.5,0.57041
284.75,0.39322
285,0.4826
285.25,0.41473
285.5,0.532013
285.75,0.340577
286,0.568927
286.25,0.464816
286.5,0.520321
286.75,0.508227
287,0.47929
287.25,0.507461
287.5,0.437497
287.75,0.44405
288,0.502537
288.25,0.529733
288.5,0.456506
288.75,0.387325
289,0.52964
289.25,0.644365
289.5,0.508086
289.75,0.441193
290,0.501202
290.25,0.440384
290.5,0.607239
290.75,0.661628
291,0.356806
291.25,0.45092
291.5,0.545079
291.75,0.591212
292,0.323004
292.25,0.53511
292.5,0.459909
292.75,0.610583
293,0.603958
293.25,0.592193
293.5,0.467908
293.75,0.421385
294,0.542661
294.25,0.429967
294.5,0.36763
294.75,0.458409
295,0.407212
295.25,0.343314
295.5,0.523088
295.75,0.39582
296,0.491673
296.25,0.711213
296.5,0.551252
296.75,0.495128
297,0.515995
297.25,0.402172
297.5,0.52029
297.75,0.452944
298,0.391215
298.25,0.276841
298.5,0.476046
298.75,0.355004
299,0.340862
299.25,0.208689
299.5,0.455526
299.75,0.441184
300,0.354213
300.25,0.457438
300.5,0.441241
300.75,0.538947
301,0.480876
301.25,0.685342
301.5,0.440677
301.75,0.56215
302,0.390644
302.25,0.531656
302.5,0.347164
302.75,0.404796
303,0.495512
303.25,0.516701
303.5,0.233903
303.75,0.498039
304,0.512742
304.25,0.45736
304.5,0.553567
304.75,0.342771
305,0.360987
305.25,0.597208
305.5,0.583862
305.75,0.272108
306,0.564662
306.25,0.617623
306.5,0.376066
306.75,0.472255
307,0.496013
307.25,0.454935
307.5,0.597167
307.75,0.55076
308,0.612306
308.25,0.516905
308.5,0.39712
308.75,0.607857
309,0.683012
309.25,0.469166
309.5,0.721141
309.75,0.463721
310,0.575356
310.25,0.479394
310.5,0.568969
310.75,0.420141
311,0.474225
311.25,0.550257
311.5,0.47237
311.75,0.446268
312,0.680956
312.25,0.592571
312.5,0.585411
312.75,0.547964
313,0.642788
313.25,0.450908
313.5,0.564073
313.75,0.56598
314,0.64715
314.25,0.362044
314.5,0.674343
314.75,0.539956
315,0.499218
315.25,0.450806
315.5,0.59974
315.75,0.565413
316,0.564841
316.25,0.399643
316.5,0.530099
316.75,0.446423
317,0.530161
317.25,0.469727
317.5,0.48358
317.75,0.557319
318,0.536565
318.25,0.47137
318.5,0.48295
318.75,0.49911
319,0.496145
