Time,cumulative_mean_fraction_lambda_C
233.75,0.123478
234,0.123469
234.25,0.123551
234.5,0.123539
234.75,0.123547
235,0.123553
235.25,0.123547
235.5,0.123564
235.75,0.123527
236,0.123535
236.25,0.123603
236.5,0.123674
236.75,0.123707
237,0.123728
237.25,0.123689
237.5,0.123684
237.75,0.123703
238,0.123733
238.25,0.123677
238.5,0.123661
238.75,0.123796
239,0.123808
239.25,0.12389
239.5,0.123988
239.75,0.124077
240,0.124096
240.25,0.124084
240.5,0.124045
240.75,0.124013
241,0.123954
241.25,0.123883
241.5,0.123889
241.75,0.12388
242,0.123902
242.25,0.123899
242.5,0.123961
242.75,0.123994
243,0.124023
243.25,0.124013
243.5,0.123997
243.75,0.124027
244,0.12399
244.25,0.123969
244.5,0.123956
244.75,0.12394
245,0.123978
245.25,0.124002
245.5,0.124
245.75,0.124054
246,0.1241
246.25,0.124066
246.5,0.124073
246.75,0.124067
247,0.124133
247.25,0.124126
247.5,0.12432
247.75,0.124324
248,0.124282
248.25,0.124317
248.5,0.124342
248.75,0.124281
249,0.124299
249.25,0.12436
249.5,0.124386
249.75,0.124395
250,0.124412
250.25,0.124313
250.5,0.124322
250.75,0.124319
251,0.124345
251.25,0.124435
251.5,0.124417
251.75,0.124473
252,0.124486
252.25,0.124464
252.5,0.124453
252.75,0.124488
253,0.124491
253.25,0.124462
253.5,0.124477
253.75,0.124473
254,0.124453
254.25,0.124474
254.5,0.124488
254.75,0.124463
255,0.124489
255.25,0.124499
255.5,0.124492
255.75,0.12448
256,0.124537
256.25,0.124551
256.5,0.124492
256.75,0.124493
257,0.124506
257.25,0.124505
257.5,0.124499
257.75,0.124502
258,0.12451
258.25,0.124432
258.5,0.124484
258.75,0.124428
259,0.124396
259.25,0.124407
259.5,0.124389
259.75,0.124341
260,0.124248
260.25,0.124248
260.5,0.124268
260.75,0.124306
261,0.124304
261.25,0.124297
261.5,0.124298
261.75,0.124341
262,0.124375
262.25,0.124332
262.5,0.124343
262.75,0.124349
263,0.124373
263.25,0.124439
263.5,0.124456
263.75,0.124473
264,0.124432
264.25,0.124445
264.5,0.124504
264.75,0.124515
265,0.124507
265.25,0.124502
265.5,0.124498
265.75,0.124444
266,0.124411
266.25,0.124341
266.5,0.124355
266.75,0.124377
267,0.124396
267.25,0.124398
267.5,0.124344
267.75,0.124282
268,0.124298
268.25,0.124324
268.5,0.124315
268.75,0.124265
269,0.124267
269.25,0.124237
269.5,0.124252
269.75,0.124237
270,0.124233
270.25,0.124274
270.5,0.12425
270.75,0.124217
271,0.12419
271.25,0.124135
271.5,0.124082
271.75,0.124123
272,0.124132
272.25,0.124131
272.5,0.124091
272.75,0.124052
273,0.124091
273.25,0.124076
273.5,0.124059
273.75,0.124108
274,0.12415
274.25,0.124133
274.5,0.124078
274.75,0.12407
275,0.124086
275.25,0.124126
275.5,0.124198
275.75,0.124176
276,0.124147
276.25,0.124145
276.5,0.12414
276.75,0.124131
277,0.124137
277.25,0.124145
277.5,0.124163
277.75,0.124164
278,0.124127
278.25,0.124118
278.5,0.124123
278.75,0.124134
279,0.124184
279.25,0.124202
279.5,0.124179
279.75,0.124148
280,0.124137
280.25,0.124122
280.5,0.124141
280.75,0.124118
281,0.124141
281.25,0.124158
281.5,0.124179
281.75,0.12417
282,0.124169
282.25,0.124094
282.5,0.124111
282.75,0.12406
283,0.124089
283.25,0.124047
283.5,0.124018
283.75,0.124003
284,0.123973
284.25,0.123989
284.5,0.123931
284.75,0.123894
285,0.123859
285.25,0.123901
285.5,0.123867
285.75,0.123835
286,0.123811
286.25,0.123792
286.5,0.123772
286.75,0.123773
287,0.123741
287.25,0.123713
287.5,0.123681
287.75,0.123704
288,0.123688
288.25,0.123681
288.5,0.1237
288.75,0.123786
289,0.123766
289.25,0.123747
289.5,0.123717
289.75,0.123696
290,0.123689
290.25,0.123684
290.5,0.123669
290.75,0.123656
291,0.123721
291.25,0.123699
291.5,0.123673
291.75,0.123638
292,0.123604
292.25,0.123604
292.5,0.123601
292.75,0.123556
293,0.123542
293.25,0.123513
293.5,0.123497
293.75,0.123494
294,0.123464
294.25,0.123427
294.5,0.123423
294.75,0.123419
295,0.123438
295.25,0.123476
295.5,0.123456
295.75,0.12352
296,0.12351
296.25,0.123474
296.5,0.123435
296.75,0.12343
297,0.123399
297.25,0.123447
297.5,0.123436
297.75,0.123421
298,0.123421
298.25,0.123409
298.5,0.123403
298.75,0.123428
299,0.123454
299.25,0.123505
299.5,0.123559
299.75,0.123563
300,0.123586
300.25,0.123587
300.5,0.123596
300.75,0.123568
301,0.123598
301.25,0.123554
301.5,0.123562
301.75,0.123567
302,0.123568
302.25,0.123588
302.5,0.123605
302.75,0.123601
303,0.123559
303.25,0.12355
303.5,0.123539
303.75,0.123541
304,0.123537
304.25,0.123579
304.5,0.123615
304.75,0.123616
305,0.123631
305.25,0.123631
305.5,0.123614
305.75,0.123598
306,0.123594
306.25,0.123571
306.5,0.123579
306.75,0.12354
307,0.123564
307.25,0.123565
307.5,0.123532
307.75,0.123484
308,0.123468
308.25,0.123423
308.5,0.123417
308.75,0.123368
309,0.123363
309.25,0.123302
309.5,0.123295
309.75,0.123271
310,0.123232
310.25,0.123225
310.5,0.123249
310.75,0.123233
311,0.123235
311.25,0.123183
311.5,0.123222
311.75,0.123271
312,0.123231
312.25,0.123237
312.5,0.123199
312.75,0.123173
313,0.123128
313.25,0.123115
313.5,0.123108
313.75,0.123084
314,0.123048
314.25,0.123052
314.5,0.123007
314.75,0.123004
315,0.122994
315.25,0.123008
315.5,0.122981
315.75,0.122957
316,0.122936
316.25,0.122935
316.5,0.122965
316.75,0.122985
317,0.123016
317.25,0.123013
317.5,0.123002
317.75,0.122995
318,0.122993
318.25,0.122987
318.5,0.123004
318.75,0.123054
319,0.123056
319.25,0.123067
319.5,0.123078
319.75,0.123034
320,0.123034
320.25,0.123045
320.5,0.123012
320.75,0.123025
321,0.123038
321.25,0.123088
321.5,0.123058
321.75,0.123049
322,0.12303
322.25,0.123017
322.5,0.122995
322.75,0.122981
323,0.122947
323.25,0.122905
323.5,0.122931
323.75,0.122895
324,0.122937
324.25,0.122922
324.5,0.122908
324.75,0.122957
325,0.122987
325.25,0.123012
325.5,0.123021
325.75,0.12303
326,0.123044
326.25,0.123101
326.5,0.123102
326.75,0.123155
327,0.123143
327.25,0.123113
327.5,0.123112
327.75,0.123131
328,0.123124
328.25,0.123085
328.5,0.123093
328.75,0.123074
329,0.123077
329.25,0.123092
329.5,0.123081
329.75,0.123095
330,0.123103
330.25,0.123093
330.5,0.123048
330.75,0.123034
331,0.123003
331.25,0.123014
331.5,0.123039
331.75,0.123025
332,0.123013
332.25,0.12299
332.5,0.122987
332.75,0.123
333,0.123002
333.25,0.122989
333.5,0.122943
333.75,0.122941
334,0.122921
334.25,0.122892
334.5,0.122896
334.75,0.122897
335,0.122919
335.25,0.122947
335.5,0.122946
335.75,0.122959
336,0.122939
336.25,0.122977
336.5,0.122974
336.75,0.122994
337,0.122997
337.25,0.122986
337.5,0.123024
337.75,0.123074
338,0.123051
338.25,0.123046
338.5,0.123018
338.75,0.123002
339,0.122993
339.25,0.123016
339.5,0.123012
339.75,0.122998
340,0.123006
340.25,0.123001
340.5,0.12303
340.75,0.123069
341,0.123078
341.25,0.123062
341.5,0.123125
341.75,0.1231
342,0.123094
342.25,0.123097
342.5,0.123144
342.75,0.123121
343,0.123154
343.25,0.123192
343.5,0.123166
343.75,0.123176
344,0.123197
344.25,0.123203
344.5,0.123175
344.75,0.123168
345,0.123159
345.25,0.12316
345.5,0.123153
345.75,0.123147
346,0.123114
346.25,0.123144
346.5,0.123171
346.75,0.123142
347,0.123154
347.25,0.123194
347.5,0.123181
347.75,0.123168
348,0.123166
348.25,0.12316
348.5,0.123185
348.75,0.123173
349,0.123177
349.25,0.123181
349.5,0.123196
349.75,0.123201
350,0.123196
350.25,0.123199
350.5,0.123194
350.75,0.123167
351,0.123129
351.25,0.123097
351.5,0.123115
351.75,0.123111
352,0.123121
352.25,0.123149
352.5,0.123143
352.75,0.123142
353,0.123148
353.25,0.123151
353.5,0.123132
353.75,0.123129
354,0.123142
354.25,0.123251
354.5,0.123239
354.75,0.123216
355,0.123224
355.25,0.12328
355.5,0.123301
355.75,0.123277
356,0.123272
356.25,0.123257
356.5,0.123266
356.75,0.123248
357,0.123244
357.25,0.123243
357.5,0.123236
357.75,0.123218
358,0.123218
358.25,0.123241
358.5,0.123228
358.75,0.123252
359,0.123222
359.25,0.123192
359.5,0.123217
359.75,0.123208
360,0.123245
360.25,0.123278
360.5,0.123243
360.75,0.123227
361,0.123234
361.25,0.123224
361.5,0.123204
361.75,0.123217
362,0.123267
362.25,0.123309
362.5,0.123297
362.75,0.123292
363,0.123302
363.25,0.123298
363.5,0.123289
363.75,0.123294
364,0.123325
364.25,0.123357
364.5,0.123373
364.75,0.123382
365,0.123374
365.25,0.123343
365.5,0.123359
365.75,0.123336
366,0.123341
366.25,0.123352
366.5,0.123313
366.75,0.123311
367,0.123295
367.25,0.12327
367.5,0.123262
367.75,0.12326
368,0.12324
368.25,0.123218
368.5,0.123211
368.75,0.123251
369,0.123257
369.25,0.123249
369.5,0.123275
369.75,0.123286
370,0.123283
370.25,0.123268
370.5,0.123259
370.75,0.123282
371,0.123297
371.25,0.123296
371.5,0.123281
371.75,0.123249
372,0.123251
372.25,0.123239
372.5,0.12324
372.75,0.123213
373,0.123218
373.25,0.123276
373.5,0.123287
373.75,0.123317
374,0.123314
374.25,0.123342
374.5,0.123359
374.75,0.123376
375,0.123387
375.25,0.123378
375.5,0.123376
375.75,0.123412
376,0.123399
376.25,0.123405
376.5,0.123406
376.75,0.123407
377,0.12338
377.25,0.123399
377.5,0.123401
377.75,0.123367
378,0.123362
378.25,0.123358
378.5,0.123325
378.75,0.123313
379,0.12331
379.25,0.123295
379.5,0.12326
379.75,0.12328
380,0.123252
380.25,0.123273
380.5,0.123253
380.75,0.123236
381,0.123256
381.25,0.123258
381.5,0.123251
381.75,0.123274
382,0.123257
382.25,0.123256
382.5,0.12328
382.75,0.123266
383,0.123282
383.25,0.123302
383.5,0.123305
383.75,0.123292
384,0.12327
384.25,0.123245
384.5,0.123237
384.75,0.123233
385,0.123243
385.25,0.12324
385.5,0.123239
385.75,0.123234
