Time,num_hospitalised
440.75,9
441,10
441.25,9
441.5,8
441.75,7
442,7
442.25,8
442.5,7
442.75,7
443,7
443.25,7
443.5,7
443.75,7
444,6
444.25,6
444.5,6
444.75,5
445,5
445.25,6
445.5,6
445.75,5
446,5
446.25,5
446.5,5
446.75,6
447,6
447.25,7
447.5,7
447.75,6
448,7
448.25,8
448.5,9
448.75,10
449,9
449.25,9
449.5,9
449.75,9
450,9
450.25,8
450.5,8
450.75,8
451,8
451.25,8
451.5,8
451.75,8
452,9
452.25,9
452.5,9
452.75,9
453,9
453.25,8
453.5,8
453.75,8
454,8
454.25,8
454.5,8
454.75,7
455,7
455.25,6
455.5,6
455.75,6
456,6
456.25,5
456.5,5
456.75,4
457,5
457.25,5
457.5,5
457.75,5
458,5
458.25,5
458.5,6
458.75,6
459,6
459.25,6
459.5,5
459.75,6
460,7
460.25,7
460.5,7
460.75,7
461,7
461.25,7
461.5,6
461.75,6
462,6
462.25,6
462.5,6
462.75,6
463,6
463.25,7
463.5,7
463.75,7
464,6
464.25,6
464.5,5
464.75,5
465,4
465.25,6
465.5,6
465.75,6
466,6
466.25,7
466.5,6
466.75,6
467,6
467.25,6
467.5,6
467.75,5
468,4
468.25,4
468.5,4
468.75,4
469,4
469.25,4
469.5,4
469.75,4
470,4
470.25,4
470.5,4
470.75,4
471,4
471.25,3
471.5,3
471.75,3
472,3
472.25,3
472.5,3
472.75,3
473,3
473.25,1
473.5,1
473.75,1
474,1
474.25,0
474.5,0
474.75,0
475,1
475.25,1
475.5,1
475.75,2
476,2
476.25,2
476.5,2
476.75,3
477,3
477.25,3
477.5,3
477.75,3
478,3
478.25,3
478.5,4
478.75,4
479,4
479.25,4
479.5,4
479.75,4
480,4
480.25,4
480.5,4
480.75,4
481,4
481.25,4
481.5,4
481.75,4
482,4
482.25,4
482.5,5
482.75,5
483,4
483.25,4
483.5,4
483.75,3
484,3
484.25,3
484.5,3
484.75,2
485,2
485.25,2
485.5,2
485.75,2
486,2
486.25,2
486.5,1
486.75,1
487,1
487.25,1
487.5,1
487.75,1
488,1
488.25,1
488.5,1
488.75,1
489,1
489.25,1
489.5,1
489.75,1
490,1
490.25,1
490.5,0
490.75,1
491,1
491.25,1
491.5,1
491.75,2
492,2
492.25,2
492.5,2
492.75,2
493,2
493.25,2
493.5,3
493.75,3
494,3
494.25,3
494.5,4
494.75,4
495,4
495.25,4
495.5,4
495.75,4
496,4
496.25,4
496.5,4
496.75,4
497,4
497.25,4
497.5,5
497.75,5
498,5
498.25,5
498.5,5
498.75,4
499,4
499.25,4
499.5,4
499.75,3
500,3
500.25,3
500.5,3
500.75,3
501,3
501.25,3
501.5,2
501.75,2
502,2
502.25,2
502.5,1
502.75,1
503,1
503.25,1
503.5,1
503.75,1
504,1
504.25,1
504.5,1
504.75,1
505,1
505.25,1
505.5,0
505.75,0
506,1
506.25,1
506.5,1
506.75,1
507,1
507.25,1
507.5,1
507.75,1
508,1
508.25,1
508.5,1
508.75,1
509,1
509.25,1
509.5,1
509.75,1
510,1
510.25,2
510.5,2
510.75,2
511,2
511.25,2
511.5,2
511.75,2
512,2
512.25,2
512.5,3
512.75,3
513,3
513.25,3
513.5,3
513.75,4
514,3
514.25,3
514.5,3
514.75,3
515,3
515.25,3
515.5,3
515.75,4
516,4
516.25,4
516.5,4
516.75,4
517,4
517.25,5
517.5,5
517.75,6
518,6
518.25,5
518.5,5
518.75,5
519,5
519.25,6
519.5,6
519.75,7
520,8
520.25,9
520.5,8
520.75,8
521,8
521.25,8
521.5,8
521.75,8
522,8
522.25,8
522.5,9
522.75,9
523,9
523.25,9
523.5,9
523.75,8
524,9
524.25,9
524.5,9
524.75,9
525,9
525.25,8
525.5,9
525.75,8
526,8
526.25,8
526.5,8
526.75,8
527,8
527.25,7
527.5,7
527.75,6
528,5
528.25,4
528.5,5
528.75,5
529,5
529.25,5
529.5,5
529.75,5
530,5
530.25,7
530.5,6
530.75,6
531,6
531.25,6
531.5,6
531.75,6
532,5
532.25,5
532.5,5
532.75,5
533,6
533.25,6
533.5,5
533.75,5
534,5
534.25,5
534.5,5
534.75,5
535,5
535.25,5
535.5,5
535.75,5
536,5
536.25,5
536.5,5
536.75,7
537,8
537.25,8
537.5,8
537.75,7
538,7
538.25,5
538.5,5
538.75,5
539,5
539.25,5
539.5,5
539.75,5
540,5
540.25,5
540.5,7
540.75,7
541,6
541.25,7
541.5,7
541.75,7
542,8
542.25,8
542.5,8
542.75,8
543,8
543.25,8
543.5,8
543.75,8
544,8
544.25,8
544.5,7
544.75,5
