Time,normal_interactions,curtailed_interactions
424.75,659741,659718
425,659735,659712
425.25,659739,659717
425.5,659741,659719
425.75,659738,659716
426,659738,659715
426.25,659738,659714
426.5,659737,659713
426.75,659735,659712
427,659734,659710
427.25,659736,659712
427.5,659742,659717
427.75,659740,659718
428,659739,659715
428.25,659737,659713
428.5,659736,659711
428.75,659737,659712
429,659736,659711
429.25,659738,659713
429.5,659740,659714
429.75,659739,659714
430,659743,659717
430.25,659744,659717
430.5,659747,659716
430.75,659746,659715
431,659747,659718
431.25,659748,659716
431.5,659746,659718
431.75,659747,659718
432,659754,659724
432.25,659758,659727
432.5,659758,659726
432.75,659757,659725
433,659756,659726
433.25,659752,659723
433.5,659747,659717
433.75,659749,659720
434,659747,659720
434.25,659750,659721
434.5,659750,659722
434.75,659753,659725
435,659753,659726
435.25,659753,659727
435.5,659750,659723
435.75,659751,659723
436,659750,659721
436.25,659753,659723
436.5,659753,659724
436.75,659750,659721
437,659751,659722
437.25,659754,659726
437.5,659749,659723
437.75,659746,659720
438,659750,659722
438.25,659750,659722
438.5,659747,659720
438.75,659747,659721
439,659749,659724
439.25,659752,659726
439.5,659751,659726
439.75,659759,659732
440,659757,659729
440.25,659756,659727
440.5,659758,659729
440.75,659757,659729
441,659757,659731
441.25,659751,659724
441.5,659758,659730
441.75,659757,659731
442,659759,659732
442.25,659764,659735
442.5,659762,659735
442.75,659759,659732
443,659761,659733
443.25,659765,659736
443.5,659767,659741
443.75,659766,659740
444,659763,659740
444.25,659761,659738
444.5,659758,659736
444.75,659762,659739
445,659761,659737
445.25,659762,659737
445.5,659761,659735
445.75,659765,659741
446,659768,659744
446.25,659768,659744
446.5,659766,659742
446.75,659767,659744
447,659767,659744
447.25,659765,659745
447.5,659765,659743
447.75,659770,659749
448,659771,659751
448.25,659770,659751
448.5,659770,659751
448.75,659772,659751
449,659772,659752
449.25,659770,659752
449.5,659771,659754
449.75,659768,659752
450,659767,659751
450.25,659770,659754
450.5,659766,659751
450.75,659762,659746
451,659763,659749
451.25,659766,659751
451.5,659764,659749
451.75,659765,659750
452,659764,659750
452.25,659763,659749
452.5,659763,659748
452.75,659767,659752
453,659768,659753
453.25,659766,659750
453.5,659765,659749
453.75,659767,659752
454,659768,659753
454.25,659769,659753
454.5,659769,659752
454.75,659768,659754
455,659767,659754
455.25,659766,659752
455.5,659766,659752
455.75,659764,659750
456,659764,659749
456.25,659763,659749
456.5,659767,659752
456.75,659771,659755
457,659770,659755
457.25,659766,659752
457.5,659767,659752
457.75,659768,659753
458,659769,659753
458.25,659772,659757
458.5,659771,659756
458.75,659771,659756
459,659773,659758
459.25,659774,659762
459.5,659774,659762
459.75,659774,659762
460,659775,659763
460.25,659775,659764
460.5,659775,659764
460.75,659774,659763
461,659773,659760
461.25,659774,659761
461.5,659777,659766
461.75,659773,659762
462,659774,659761
462.25,659776,659764
462.5,659774,659762
462.75,659777,659766
463,659775,659763
463.25,659775,659764
463.5,659775,659764
463.75,659778,659766
464,659780,659768
464.25,659782,659769
464.5,659782,659768
464.75,659780,659767
465,659783,659771
465.25,659787,659775
465.5,659784,659772
465.75,659787,659773
466,659784,659772
466.25,659784,659772
466.5,659786,659773
466.75,659787,659774
467,659783,659770
467.25,659786,659773
467.5,659785,659772
467.75,659786,659772
468,659789,659774
468.25,659791,659776
468.5,659790,659773
468.75,659790,659773
469,659789,659773
469.25,659790,659774
469.5,659788,659772
469.75,659789,659774
470,659791,659777
470.25,659791,659778
470.5,659791,659779
470.75,659792,659780
471,659795,659782
471.25,659795,659783
471.5,659799,659786
471.75,659798,659785
472,659796,659783
472.25,659794,659782
472.5,659795,659784
472.75,659795,659784
473,659794,659782
473.25,659795,659784
473.5,659794,659783
473.75,659793,659782
474,659793,659782
474.25,659793,659783
474.5,659794,659784
474.75,659792,659783
475,659794,659785
475.25,659795,659785
475.5,659797,659788
475.75,659796,659788
476,659799,659789
476.25,659799,659790
476.5,659796,659788
476.75,659796,659788
477,659796,659788
477.25,659793,659785
477.5,659796,659789
477.75,659798,659791
478,659799,659792
478.25,659801,659794
478.5,659801,659794
478.75,659801,659794
479,659803,659795
479.25,659802,659793
479.5,659802,659792
