Time,infections_by_new_infectives
302.25,94.9866
302.5,167.298
302.75,150.721
303,120.123
303.25,66.6654
303.5,129.063
303.75,69.35
304,196.832
304.25,89.2562
304.5,98.6895
304.75,123.821
305,119.121
305.25,150.767
305.5,96.3587
305.75,114.472
306,219.524
306.25,124.451
306.5,129.206
306.75,81.5725
307,107.545
307.25,51.2245
307.5,82.2707
307.75,115.876
308,96.4529
308.25,153.062
308.5,149.997
308.75,137.464
309,100.477
309.25,93.0828
309.5,89.4899
309.75,103.601
310,186.925
310.25,100.967
310.5,168.977
310.75,43.0775
311,106.867
311.25,131.966
311.5,124.841
311.75,158.107
312,183.096
312.25,57.686
312.5,78.4964
312.75,162.906
313,98.7237
313.25,88.2254
313.5,240.922
313.75,111.746
314,82.8856
314.25,169.445
314.5,192.322
314.75,116.932
315,174.38
315.25,154.677
315.5,177.613
315.75,126.527
316,164.347
316.25,181.068
316.5,246.695
316.75,124.26
317,138.672
317.25,151.532
317.5,108.897
317.75,180.623
318,186.356
318.25,105.694
318.5,149.738
318.75,140.127
319,166.858
319.25,62.5767
319.5,86.5694
319.75,172.427
320,83.8807
320.25,85.9206
320.5,107.538
320.75,140.657
321,151.437
321.25,159.747
321.5,87.4322
321.75,144.383
322,130.879
322.25,65.0594
322.5,172.927
322.75,101.602
323,133.835
323.25,84.7253
323.5,75.9649
323.75,167.853
324,120.102
324.25,81.9315
324.5,119.414
324.75,92.2226
325,110.585
325.25,117.533
325.5,111.434
325.75,83.0011
326,137.13
326.25,160.102
326.5,99.049
326.75,96.4871
327,76.2794
327.25,126.079
327.5,82.4763
327.75,71.2077
328,124.198
328.25,82.684
328.5,117.342
328.75,84.3299
329,103.075
329.25,117.995
329.5,73.1218
329.75,173.991
330,77.378
330.25,102.858
330.5,127.057
330.75,142.444
331,105.552
331.25,106.65
331.5,67.3474
331.75,71.128
332,100.647
332.25,75.8653
332.5,84.6865
332.75,52.2276
333,94.6802
333.25,95.3356
333.5,85.609
333.75,155.842
334,100.084
334.25,80.1885
334.5,78.5825
334.75,68.7302
335,129.269
335.25,109.949
335.5,89.0139
335.75,119.349
336,62.1841
336.25,57.2098
336.5,95.7634
336.75,117.235
337,99.4618
337.25,103.628
337.5,84.9546
337.75,128.253
338,87.5885
338.25,103.458
338.5,84.5272
338.75,51.1242
339,50.3419
339.25,62.0309
339.5,108.78
339.75,89.0111
340,73.0943
340.25,130.021
340.5,85.5065
340.75,114.164
341,80.4142
341.25,66.9738
341.5,67.7301
341.75,100.769
342,58.5285
342.25,91.5807
342.5,39.5151
342.75,53.0862
343,63.2726
343.25,95.8747
343.5,75.5878
343.75,110.512
344,73.2108
344.25,85.524
344.5,93.0778
344.75,88.0555
345,99.1955
345.25,90.496
345.5,98.5469
345.75,119.856
346,98.301
346.25,51.6298
346.5,83.5933
346.75,69.6082
347,92.4555
347.25,81.2972
347.5,45.3334
347.75,111.253
348,80.5317
348.25,56.4179
348.5,90.1984
348.75,66.5796
349,41.4837
349.25,117.814
349.5,92.6999
349.75,105.122
350,75.1049
350.25,169.052
350.5,113.716
350.75,71.0766
351,69.3168
351.25,70.229
351.5,94.7317
351.75,73.8386
352,48.2283
352.25,88.0543
352.5,102.648
352.75,97.56
353,111.165
353.25,82.8036
353.5,116.053
353.75,88.7764
354,49.575
354.25,57.956
354.5,74.5758
354.75,68.7677
355,46.175
355.25,145.302
355.5,96.1818
355.75,108.673
356,94.5603
356.25,63.5414
356.5,76.2406
356.75,115.922
357,59.0306
357.25,49.0557
357.5,46.8755
357.75,34.1771
358,94.0593
358.25,86.0034
358.5,47.9654
358.75,84.5517
359,17.1273
359.25,49.8355
359.5,53.152
359.75,89.9713
360,43.7928
360.25,77.8757
360.5,93.1694
360.75,59.9664
361,100.006
361.25,69.7407
361.5,38.6088
361.75,53.7583
362,81.8121
362.25,122.841
362.5,83.594
362.75,112.482
363,73.4134
363.25,24.4458
363.5,20.7722
363.75,54.1234
364,50.1345
364.25,53.1999
364.5,58.6437
364.75,47.2486
365,89.5964
365.25,71.4464
365.5,58.137
365.75,67.7322
366,80.4151
366.25,109.352
366.5,71.8976
366.75,85.9569
367,34.3195
367.25,46.4074
367.5,52.431
367.75,69.7814
368,60.0806
368.25,35.6369
368.5,88.7265
368.75,110.596
369,40.0579
369.25,85.9437
369.5,89.7531
369.75,45.3922
370,46.8106
370.25,38.9048
370.5,59.4978
370.75,94.2225
371,59.7874
371.25,37.2465
371.5,132.763
371.75,40.8231
372,71.2726
372.25,37.303
372.5,44.4291
372.75,52.9812
373,75.8813
373.25,59.2323
373.5,30.4892
373.75,85.6078
374,69.5227
374.25,66.8969
374.5,121.739
374.75,82.14
375,93.4176
375.25,55.5443
375.5,60.5576
375.75,38.671
376,71.3079
376.25,39.6411
376.5,29.143
376.75,43.1923
377,75.3297
377.25,52.6951
377.5,74.4637
377.75,106.104
378,94.1752
378.25,48.9035
378.5,26.6515
378.75,35.5162
379,62.4859
379.25,58.9074
379.5,66.1193
379.75,35.8533
380,34.9975
380.25,47.777
380.5,65.6693
380.75,27.5682
381,40.3621
381.25,62.8606
381.5,57.9083
381.75,78.5793
382,37.391
382.25,88.3211
382.5,37.3034
382.75,37.6375
383,25.1195
383.25,41.9792
383.5,65.0341
383.75,44.6117
384,76.383
384.25,38.7078
384.5,32.2971
384.75,27.8625
385,22.916
385.25,41.4363
385.5,57.0393
385.75,35.9445
386,28.6412
386.25,56.4088
386.5,55.8953
386.75,62.724
387,69.2077
387.25,62.3697
387.5,56.5375
387.75,44.6709
388,46.0192
388.25,42.6174
388.5,19.4644
388.75,60.4043
389,39.4506
389.25,26.6731
389.5,34.4335
389.75,23.2335
390,20.5775
390.25,28.8993
390.5,45.8406
390.75,21.2363
391,42.997
391.25,67.4381
391.5,62.0875
391.75,29.4093
392,35.3585
392.25,21.604
392.5,26.6579
392.75,54.4376
393,55.5244
393.25,40.2571
393.5,18.7809
393.75,44.825
394,41.0202
394.25,30.0015
394.5,22.9778
394.75,21.0614
395,17.1364
395.25,44.7498
395.5,50.2192
395.75,20.0167
396,33.7429
396.25,38.8115
396.5,12.3458
396.75,60.9501
397,39.3671
397.25,23.2468
397.5,68.4241
397.75,28.4352
398,15.3091
398.25,46.4524
398.5,23.8061
398.75,23.4082
399,56.8011
399.25,30.1898
399.5,23.5492
399.75,12.9484
400,49.86
400.25,49.6325
400.5,5.21278
400.75,30.056
401,34.4594
401.25,17.5624
401.5,21.5406
401.75,36.3024
402,60.3417
402.25,29.1623
402.5,16.6094
402.75,25.883
403,21.1768
403.25,53.8192
403.5,48.1093
403.75,11.5872
404,22.3971
404.25,18.496
404.5,20.5806
404.75,5.07163
405,43.2972
405.25,13.9076
405.5,13.0967
405.75,13.9327
406,40.9928
406.25,59.0617
406.5,12.5876
406.75,50.0436
407,17.816
407.25,9.06945
407.5,29.4003
407.75,62.7883
408,17.1065
408.25,18.6648
408.5,65.5415
408.75,44.541
409,40.8104
409.25,38.6526
409.5,14.0051
409.75,47.059
410,29.259
410.25,9.13627
410.5,22.5089
410.75,20.919
411,7.62324
411.25,17.4823
411.5,16.992
411.75,32.0679
412,13.9964
412.25,38.5475
412.5,15.5714
412.75,37.3147
413,31.4074
413.25,43.9102
413.5,24.1488
413.75,8.69283
414,15.0914
414.25,3.03299
414.5,19.6637
414.75,32.7663
415,46.3427
415.25,47.2548
415.5,19.7173
415.75,20.8822
416,35.0217
416.25,45.1401
416.5,39.1567
416.75,16.5581
417,12.9755
417.25,11.2717
417.5,32.3833
417.75,32.7801
418,65.4601
418.25,23.9569
418.5,25.3532
418.75,7.3225
419,22.3676
419.25,33.1476
419.5,9.76465
419.75,36.4527
420,30.4331
420.25,61.3591
420.5,28.9302
420.75,24.6735
421,43.7949
421.25,27.4819
421.5,5.55414
421.75,16.5769
422,19.1669
422.25,27.164
422.5,24.8217
422.75,6.39085
423,12.91
423.25,39.3222
423.5,23.2781
423.75,2.77371
424,40.3027
424.25,13.2732
424.5,34.6145
424.75,17.1055
425,45.3469
425.25,11.0813
425.5,31.3871
425.75,25.6102
426,22.2688
426.25,54.7669
426.5,25.9912
426.75,38.4099
427,31.3037
427.25,10.3019
427.5,5.16133
427.75,34.2371
428,36.1034
428.25,39.997
428.5,7.24735
428.75,24.8498
429,7.95979
429.25,1.94799
429.5,16.8524
429.75,6.18932
430,4.7889
430.25,30.7641
430.5,14.9455
430.75,27.185
431,15.114
431.25,28.5221
431.5,11.1196
431.75,12.0542
432,1.39875
432.25,4.04597
432.5,23.9218
432.75,19.2559
433,24.5128
433.25,43.4091
433.5,14.9688
433.75,44.7725
434,11.6275
434.25,25.8864
434.5,45.2272
434.75,25.4103
435,13.6141
435.25,14.6696
435.5,25.8373
435.75,45.7369
436,54.2331
436.25,21.9596
436.5,7.02496
436.75,37.9907
437,23.4729
437.25,10.065
437.5,30.2796
437.75,25.0136
438,24.558
438.25,14.2506
438.5,15.5683
438.75,21.4206
439,4.54586
439.25,15.1759
439.5,7.80562
439.75,10.8177
440,29.9918
440.25,4.6769
440.5,2.98572
440.75,3.54859
441,20.0955
441.25,44.2315
441.5,18.3531
441.75,15.0232
442,19.1151
442.25,23.5092
442.5,45.2045
442.75,11.2251
443,9.53533
443.25,4.62977
443.5,4.16919
443.75,20.2524
444,16.8059
444.25,19.8048
444.5,14.9383
444.75,5.78402
445,17.7081
445.25,43.4335
445.5,40.0945
