Time,cumulative_mean_fraction_lambda_H
259.25,0.367636
259.5,0.367668
259.75,0.367751
260,0.367892
260.25,0.36788
260.5,0.367853
260.75,0.367804
261,0.367669
261.25,0.367584
261.5,0.367583
261.75,0.367666
262,0.367696
262.25,0.367735
262.5,0.367744
262.75,0.367677
263,0.367677
263.25,0.36761
263.5,0.367602
263.75,0.367646
264,0.367747
264.25,0.367761
264.5,0.367752
264.75,0.367831
265,0.367887
265.25,0.367944
265.5,0.36799
265.75,0.368083
266,0.36815
266.25,0.368245
266.5,0.368203
266.75,0.368143
267,0.368248
267.25,0.368252
267.5,0.368307
267.75,0.368447
268,0.368465
268.25,0.368457
268.5,0.368478
268.75,0.368561
269,0.368587
269.25,0.368676
269.5,0.368652
269.75,0.368693
270,0.368722
270.25,0.368758
270.5,0.368721
270.75,0.368729
271,0.368702
271.25,0.368752
271.5,0.368668
271.75,0.368624
272,0.368578
272.25,0.368571
272.5,0.368623
272.75,0.368705
273,0.368673
273.25,0.368659
273.5,0.368643
273.75,0.368522
274,0.36848
274.25,0.368444
274.5,0.368451
274.75,0.368461
275,0.368412
275.25,0.368426
275.5,0.368374
275.75,0.36833
276,0.368231
276.25,0.368139
276.5,0.368131
276.75,0.368116
277,0.368089
277.25,0.36809
277.5,0.368088
277.75,0.368085
278,0.368063
278.25,0.368105
278.5,0.368046
278.75,0.368079
279,0.368099
279.25,0.368105
279.5,0.368062
279.75,0.36806
280,0.368162
280.25,0.368261
280.5,0.36829
280.75,0.368364
281,0.368364
281.25,0.368335
281.5,0.368344
281.75,0.368307
282,0.368382
282.25,0.368417
282.5,0.368373
282.75,0.368338
283,0.368377
283.25,0.368319
283.5,0.368339
283.75,0.368347
284,0.368279
284.25,0.368302
284.5,0.368311
284.75,0.368443
285,0.368495
285.25,0.368521
285.5,0.368539
285.75,0.3687
286,0.368679
286.25,0.368721
286.5,0.368733
286.75,0.368731
287,0.368786
287.25,0.368814
287.5,0.368882
287.75,0.368887
288,0.368907
288.25,0.368899
288.5,0.368912
288.75,0.368893
289,0.368897
289.25,0.368856
289.5,0.368885
289.75,0.368942
290,0.368953
290.25,0.369011
290.5,0.368986
290.75,0.368943
291,0.368967
291.25,0.369029
291.5,0.369032
291.75,0.369042
292,0.36917
292.25,0.369156
292.5,0.369186
292.75,0.369178
293,0.369153
293.25,0.369141
293.5,0.369178
293.75,0.369215
294,0.36923
294.25,0.369311
294.5,0.369376
294.75,0.369401
295,0.36944
295.25,0.369475
295.5,0.369485
295.75,0.369489
296,0.369506
296.25,0.369456
296.5,0.36947
296.75,0.36948
297,0.369506
297.25,0.369508
297.5,0.369515
297.75,0.369551
298,0.369609
298.25,0.369732
298.5,0.369751
298.75,0.36979
299,0.369851
299.25,0.36993
299.5,0.369905
299.75,0.369925
300,0.369957
300.25,0.369974
300.5,0.370009
300.75,0.370026
301,0.370008
301.25,0.36994
301.5,0.369969
301.75,0.369932
302,0.369988
302.25,0.369957
302.5,0.369994
302.75,0.370039
303,0.370085
303.25,0.370088
303.5,0.37029
303.75,0.370292
304,0.370293
304.25,0.370275
304.5,0.370224
304.75,0.370301
305,0.370357
305.25,0.370323
305.5,0.37031
305.75,0.37044
306,0.37042
306.25,0.370408
306.5,0.370456
306.75,0.370515
307,0.370494
307.25,0.37051
307.5,0.370496
307.75,0.37052
308,0.370496
308.25,0.370536
308.5,0.370574
308.75,0.370569
309,0.370524
309.25,0.370604
309.5,0.370519
309.75,0.370562
310,0.370569
310.25,0.370588
310.5,0.370538
310.75,0.370587
311,0.370604
311.25,0.370637
311.5,0.370607
311.75,0.370592
312,0.37055
312.25,0.370502
312.5,0.370487
312.75,0.370494
313,0.370471
313.25,0.370511
313.5,0.370494
313.75,0.370492
314,0.370452
314.25,0.370494
314.5,0.370468
314.75,0.370453
315,0.370465
315.25,0.370486
315.5,0.370459
315.75,0.370457
316,0.370447
316.25,0.370487
316.5,0.370445
316.75,0.370459
317,0.370417
317.25,0.370438
317.5,0.370459
317.75,0.370438
318,0.370429
318.25,0.370453
318.5,0.370446
318.75,0.370401
319,0.370403
319.25,0.370389
319.5,0.370399
319.75,0.370361
320,0.370339
320.25,0.370319
320.5,0.370348
320.75,0.370296
321,0.370258
321.25,0.370204
321.5,0.370229
321.75,0.370251
322,0.370267
322.25,0.370263
322.5,0.370247
322.75,0.370292
323,0.370286
323.25,0.370446
323.5,0.370509
323.75,0.370555
324,0.370536
324.25,0.370503
324.5,0.370557
324.75,0.370504
325,0.370476
325.25,0.370432
325.5,0.370469
325.75,0.370463
326,0.370431
326.25,0.37044
326.5,0.370451
326.75,0.370451
327,0.370422
327.25,0.370445
327.5,0.370465
327.75,0.370492
328,0.370453
328.25,0.370489
328.5,0.370455
328.75,0.370492
329,0.37047
329.25,0.370453
329.5,0.370424
329.75,0.370392
330,0.370399
330.25,0.370378
330.5,0.370363
330.75,0.370345
331,0.370363
331.25,0.370386
331.5,0.370352
331.75,0.370362
332,0.370411
332.25,0.370381
332.5,0.370314
332.75,0.370304
333,0.370307
333.25,0.370365
333.5,0.370402
333.75,0.370383
334,0.370359
334.25,0.370369
334.5,0.370362
334.75,0.370392
335,0.370471
335.25,0.370439
335.5,0.370449
335.75,0.370431
336,0.37045
336.25,0.370436
336.5,0.370435
336.75,0.370424
337,0.370447
337.25,0.370467
337.5,0.370438
337.75,0.370385
338,0.370508
338.25,0.370479
338.5,0.370546
338.75,0.370577
339,0.370616
339.25,0.370588
339.5,0.370573
339.75,0.370597
340,0.370661
340.25,0.370702
340.5,0.370717
340.75,0.370721
341,0.37073
341.25,0.370748
341.5,0.370696
341.75,0.370744
342,0.370766
342.25,0.370814
342.5,0.370798
342.75,0.370852
343,0.370869
343.25,0.370882
343.5,0.37093
343.75,0.370957
344,0.370914
344.25,0.370973
344.5,0.370963
344.75,0.370952
345,0.370889
345.25,0.370862
345.5,0.370832
345.75,0.37084
346,0.370903
346.25,0.370882
346.5,0.37092
346.75,0.370901
347,0.37092
347.25,0.370915
347.5,0.37093
347.75,0.370931
348,0.37095
348.25,0.370982
348.5,0.370986
348.75,0.370992
349,0.370984
349.25,0.371013
349.5,0.370972
349.75,0.370964
350,0.370973
350.25,0.370965
350.5,0.370973
350.75,0.37095
351,0.370956
351.25,0.370928
351.5,0.37094
351.75,0.370911
352,0.370856
352.25,0.370898
352.5,0.370906
352.75,0.370847
353,0.370835
353.25,0.3708
353.5,0.370795
353.75,0.370739
354,0.370722
354.25,0.370643
354.5,0.370658
354.75,0.370642
355,0.370625
355.25,0.370558
355.5,0.370552
355.75,0.370627
356,0.370639
356.25,0.370575
356.5,0.370561
356.75,0.370573
357,0.370614
357.25,0.370596
357.5,0.370639
357.75,0.370666
358,0.370621
358.25,0.37056
358.5,0.370575
358.75,0.370588
359,0.370592
359.25,0.370652
359.5,0.370656
359.75,0.37062
360,0.370605
360.25,0.37054
360.5,0.37057
360.75,0.370547
361,0.370596
361.25,0.37063
361.5,0.370596
361.75,0.370606
362,0.370619
362.25,0.370587
362.5,0.370583
362.75,0.370624
363,0.370678
363.25,0.370632
363.5,0.370657
363.75,0.370646
364,0.370598
364.25,0.370515
364.5,0.370507
364.75,0.370488
365,0.370504
365.25,0.370474
365.5,0.37048
365.75,0.370492
366,0.370466
366.25,0.37047
366.5,0.370458
366.75,0.370435
367,0.370426
367.25,0.370427
367.5,0.370443
367.75,0.370434
368,0.370455
368.25,0.370439
368.5,0.370441
368.75,0.370394
369,0.370397
369.25,0.370399
369.5,0.370422
369.75,0.370454
370,0.370513
370.25,0.370503
370.5,0.370574
370.75,0.370573
371,0.370533
371.25,0.370542
371.5,0.370552
371.75,0.370587
372,0.370607
372.25,0.370636
372.5,0.370632
372.75,0.370641
373,0.370657
373.25,0.370696
373.5,0.370686
373.75,0.370678
374,0.370682
374.25,0.370655
374.5,0.370666
374.75,0.370649
375,0.370667
375.25,0.37062
375.5,0.370557
375.75,0.370542
376,0.370516
376.25,0.370505
376.5,0.370478
376.75,0.370492
377,0.370507
377.25,0.370482
377.5,0.370488
377.75,0.370558
378,0.370571
378.25,0.370611
378.5,0.370578
378.75,0.370606
379,0.370678
379.25,0.3707
379.5,0.37072
379.75,0.3707
380,0.370705
380.25,0.370685
380.5,0.370679
380.75,0.370665
381,0.370659
381.25,0.370691
381.5,0.370694
381.75,0.37072
382,0.370778
382.25,0.370801
382.5,0.370778
382.75,0.3708
383,0.370779
383.25,0.37076
383.5,0.370806
383.75,0.370861
384,0.37089
384.25,0.370962
384.5,0.370973
384.75,0.370959
385,0.370962
385.25,0.370966
385.5,0.370962
385.75,0.370974
386,0.370965
386.25,0.371015
386.5,0.371058
386.75,0.371075
387,0.371068
387.25,0.371098
387.5,0.371126
387.75,0.371123
388,0.371092
388.25,0.371195
388.5,0.371211
388.75,0.371225
389,0.371222
389.25,0.371238
389.5,0.371245
389.75,0.371267
390,0.371279
390.25,0.37125
390.5,0.371262
390.75,0.371262
391,0.371242
391.25,0.371239
391.5,0.371265
391.75,0.371252
392,0.371256
392.25,0.371233
392.5,0.371212
392.75,0.371207
393,0.371214
393.25,0.371231
393.5,0.37122
393.75,0.371207
394,0.371229
394.25,0.371208
394.5,0.371229
394.75,0.37123
395,0.371245
395.25,0.371271
395.5,0.371303
395.75,0.371307
396,0.371294
396.25,0.371248
396.5,0.371224
396.75,0.371216
397,0.371209
397.25,0.371211
397.5,0.371221
397.75,0.371225
398,0.371239
398.25,0.371229
398.5,0.371239
398.75,0.37124
399,0.371238
399.25,0.371229
399.5,0.371218
399.75,0.371253
400,0.371287
400.25,0.371257
400.5,0.371258
400.75,0.37125
401,0.371257
401.25,0.371254
401.5,0.371287
401.75,0.371316
402,0.371298
402.25,0.371302
402.5,0.371356
402.75,0.37133
403,0.371368
403.25,0.37139
403.5,0.371409
403.75,0.371411
404,0.371447
404.25,0.371463
404.5,0.371473
404.75,0.371491
405,0.371475
405.25,0.371467
405.5,0.371458
405.75,0.371455
406,0.371432
406.25,0.371452
406.5,0.371448
406.75,0.371445
407,0.371453
407.25,0.371444
407.5,0.371444
407.75,0.37148
408,0.371477
408.25,0.371464
408.5,0.371466
408.75,0.371448
409,0.371476
409.25,0.37144
409.5,0.371427
409.75,0.37141
410,0.37142
410.25,0.37144
410.5,0.371434
410.75,0.371438
411,0.37143
411.25,0.371437
411.5,0.37143
411.75,0.371436
412,0.371442
412.25,0.371428
412.5,0.371443
412.75,0.371433
413,0.371444
413.25,0.371451
413.5,0.371484
413.75,0.371498
414,0.371452
414.25,0.371436
414.5,0.371429
414.75,0.371418
415,0.371407
415.25,0.371399
415.5,0.371396
415.75,0.371419
416,0.371436
416.25,0.371438
416.5,0.37146
416.75,0.371447
417,0.371426
417.25,0.371428
417.5,0.371403
417.75,0.371428
418,0.37143
418.25,0.371427
418.5,0.371406
418.75,0.371382
419,0.371372
419.25,0.371322
419.5,0.371319
419.75,0.371268
420,0.371254
420.25,0.371265
420.5,0.371266
420.75,0.371248
421,0.371237
421.25,0.371246
421.5,0.371269
421.75,0.371281
422,0.371306
422.25,0.371301
422.5,0.371311
422.75,0.371295
423,0.371335
423.25,0.37133
423.5,0.371332
423.75,0.371321
424,0.371312
424.25,0.3713
424.5,0.371299
424.75,0.37131
425,0.371317
425.25,0.371293
425.5,0.3713
425.75,0.371315
426,0.371347
426.25,0.371368
426.5,0.37138
426.75,0.371387
427,0.371376
427.25,0.371365
427.5,0.371352
