Time,cumulative_mean_fraction_lambda_C
378.5,0.136874
378.75,0.136874
379,0.136874
379.25,0.136874
379.5,0.136874
379.75,0.136874
380,0.136874
380.25,0.136874
380.5,0.136874
380.75,0.136874
381,0.136874
381.25,0.136874
381.5,0.136874
381.75,0.136874
382,0.136874
382.25,0.136874
382.5,0.136874
382.75,0.136874
383,0.136874
383.25,0.136874
383.5,0.136874
383.75,0.136874
384,0.136874
384.25,0.136874
384.5,0.136874
384.75,0.136874
385,0.136874
385.25,0.136874
385.5,0.136874
385.75,0.136874
386,0.136874
386.25,0.136874
386.5,0.136874
386.75,0.136874
387,0.136874
387.25,0.136874
387.5,0.136874
387.75,0.136874
388,0.136874
388.25,0.136874
388.5,0.136874
388.75,0.136874
389,0.136874
389.25,0.136874
389.5,0.136874
389.75,0.136874
390,0.136874
390.25,0.136874
390.5,0.136874
390.75,0.136874
391,0.136874
391.25,0.136874
391.5,0.136874
391.75,0.136874
392,0.136874
392.25,0.136874
392.5,0.136874
392.75,0.136874
393,0.136874
393.25,0.136874
393.5,0.136874
393.75,0.136874
394,0.136874
394.25,0.136874
394.5,0.136874
394.75,0.136874
395,0.136874
395.25,0.136874
395.5,0.136874
395.75,0.136874
396,0.136874
396.25,0.136874
396.5,0.136874
396.75,0.136874
397,0.136874
397.25,0.136874
397.5,0.136874
397.75,0.136874
398,0.136874
398.25,0.136874
398.5,0.136874
398.75,0.136874
399,0.136874
399.25,0.136874
399.5,0.136874
399.75,0.136874
400,0.136874
400.25,0.136874
400.5,0.136874
400.75,0.136874
401,0.136874
401.25,0.136874
401.5,0.136874
401.75,0.136874
402,0.136874
402.25,0.136874
402.5,0.136874
402.75,0.136874
403,0.136874
403.25,0.136874
403.5,0.136874
403.75,0.136874
404,0.136874
404.25,0.136874
404.5,0.136874
404.75,0.136874
405,0.136874
405.25,0.136874
405.5,0.136874
405.75,0.136874
406,0.136874
406.25,0.136874
406.5,0.136874
406.75,0.136874
407,0.136874
407.25,0.136874
407.5,0.136874
407.75,0.136874
408,0.136874
408.25,0.136874
408.5,0.136874
