Time,normal_interactions,curtailed_interactions
267.5,659953,447688
267.75,659953,447688
268,659953,447688
268.25,659953,447688
268.5,659953,447688
268.75,659953,447688
269,659953,447688
269.25,659953,447688
269.5,659953,447688
269.75,659953,447688
270,659953,447688
270.25,659953,447688
270.5,659953,447688
270.75,659953,447688
271,659953,447688
271.25,659953,447688
271.5,659953,447688
271.75,659953,447688
272,659953,447688
272.25,659953,447688
272.5,659953,447688
272.75,659953,447688
273,659953,447688
273.25,659953,447688
273.5,659953,447688
273.75,659953,447688
274,659953,447688
274.25,659953,447688
274.5,659953,447688
274.75,659953,447688
275,659953,447688
275.25,659953,447688
275.5,659953,447688
275.75,659953,447688
276,659953,447688
276.25,659953,447688
276.5,659953,447688
276.75,659953,447688
277,659953,447688
277.25,659953,447688
277.5,659953,447688
277.75,659953,447688
278,659953,447688
278.25,659953,447688
278.5,659953,447688
278.75,659953,447688
279,659953,447688
279.25,659953,447688
279.5,659953,447688
279.75,659953,447688
280,659953,447688
280.25,659953,447688
280.5,659953,447688
280.75,659953,447688
281,659953,447688
281.25,659953,447688
281.5,659953,447688
281.75,659953,447688
282,659953,447688
282.25,659953,447688
282.5,659953,447688
282.75,659953,447688
283,659953,447688
283.25,659953,447688
283.5,659953,447688
283.75,659953,447688
284,659953,447688
284.25,659953,447688
284.5,659953,447688
284.75,659953,447688
285,659953,447688
285.25,659953,447688
285.5,659953,447688
285.75,659953,447688
286,659953,447688
286.25,659953,447688
286.5,659953,447688
286.75,659953,447688
287,659953,447688
287.25,659953,447688
287.5,659953,447688
287.75,659953,447688
288,659953,447688
288.25,659953,447688
288.5,659953,447688
288.75,659953,447688
289,659953,447688
289.25,659953,447688
289.5,659953,447688
289.75,659953,447688
290,659953,447688
290.25,659953,447688
290.5,659953,447688
290.75,659953,447688
291,659953,447688
291.25,659953,447688
291.5,659953,447688
291.75,659953,447688
292,659953,447688
292.25,659953,447688
292.5,659953,447688
292.75,659953,447688
293,659953,447688
293.25,659953,447688
293.5,659953,447688
293.75,659953,447688
294,659953,447688
294.25,659953,447688
294.5,659953,447688
294.75,659953,447688
295,659953,447688
295.25,659953,447688
295.5,659953,447688
295.75,659953,447688
296,659953,447688
296.25,659953,447688
296.5,659953,447688
296.75,659953,447688
297,659953,447688
297.25,659953,447688
297.5,659953,447688
297.75,659953,447688
298,659953,447688
298.25,659953,447688
298.5,659953,447688
298.75,659953,447688
299,659953,447688
299.25,659953,447688
299.5,659953,447688
299.75,659953,447688
300,659953,447688
300.25,659953,447688
300.5,659953,447688
300.75,659953,447688
301,659953,447688
301.25,659953,447688
301.5,659953,447688
301.75,659953,447688
302,659953,447688
302.25,659953,447688
302.5,659953,447688
302.75,659953,447688
303,659953,447688
303.25,659953,447688
303.5,659953,447688
303.75,659953,447688
304,659953,447688
304.25,659953,447688
304.5,659953,447688
304.75,659953,447688
305,659953,447688
305.25,659953,447688
305.5,659953,447688
305.75,659953,447688
306,659953,447688
306.25,659953,447688
306.5,659953,447688
306.75,659953,447688
307,659953,447688
307.25,659953,447688
307.5,659953,447688
307.75,659953,447688
308,659953,447688
308.25,659953,447688
308.5,659953,447688
308.75,659953,447688
309,659953,447688
309.25,659953,447688
309.5,659953,447688
309.75,659953,447688
310,659953,447688
310.25,659953,447688
310.5,659953,447688
310.75,659953,447688
311,659953,447688
311.25,659953,447688
311.5,659953,447688
311.75,659953,447688
312,659953,447688
312.25,659953,447688
312.5,659953,447688
312.75,659953,447688
313,659953,447688
313.25,659953,447688
313.5,659953,447688
313.75,659953,447688
314,659953,447688
314.25,659953,447688
314.5,659953,447688
314.75,659953,447688
315,659953,447688
315.25,659953,447688
315.5,659953,447688
315.75,659953,447688
316,659953,447688
316.25,659953,447688
316.5,659953,447688
316.75,659953,447688
317,659953,447688
317.25,659953,447688
317.5,659953,447688
317.75,659953,447688
318,659953,447688
318.25,659953,447688
318.5,659953,447688
318.75,659953,447688
319,659953,447688
319.25,659953,447688
319.5,659953,447688
319.75,659953,447688
320,659953,447688
320.25,659953,447688
320.5,659953,447688
320.75,659953,447688
321,659953,447688
321.25,659953,447688
321.5,659953,447688
321.75,659953,447688
322,659953,447688
322.25,659953,447688
322.5,659953,447688
322.75,659953,447688
323,659953,447688
323.25,659953,447688
323.5,659953,447688
323.75,659953,447688
324,659953,447688
324.25,659953,447688
324.5,659953,447688
324.75,659953,447688
325,659953,447688
325.25,659953,447688
325.5,659953,447688
325.75,659953,447688
326,659953,447688
326.25,659953,447688
326.5,659953,447688
326.75,659953,447688
327,659953,447688
327.25,659953,447688
327.5,659953,447688
327.75,659953,447688
328,659953,447688
328.25,659953,447688
328.5,659953,447688
328.75,659953,447688
329,659953,447688
329.25,659953,447688
329.5,659953,447688
329.75,659953,447688
330,659953,447688
330.25,659953,447688
330.5,659953,447688
330.75,659953,447688
331,659953,447688
331.25,659953,447688
331.5,659953,447688
331.75,659953,447688
332,659953,447688
332.25,659953,447688
332.5,659953,447688
332.75,659953,447688
333,659953,447688
333.25,659953,447688
333.5,659953,447688
333.75,659953,447688
334,659953,447688
334.25,659953,447688
334.5,659953,447688
334.75,659953,447688
335,659953,447688
335.25,659953,447688
335.5,659953,447688
335.75,659953,447688
336,659953,447688
336.25,659953,447688
336.5,659953,447688
336.75,659953,447688
337,659953,447688
337.25,659953,447688
337.5,659953,447688
337.75,659953,447688
338,659953,447688
338.25,659953,447688
338.5,659953,447688
338.75,659953,447688
339,659953,447688
339.25,659953,447688
339.5,659953,447688
339.75,659953,447688
340,659953,447688
340.25,659953,447688
340.5,659953,447688
340.75,659953,447688
341,659953,447688
341.25,659953,447688
341.5,659953,447688
341.75,659953,447688
342,659953,447688
342.25,659953,447688
342.5,659953,447688
342.75,659953,447688
343,659953,447688
343.25,659953,447688
343.5,659953,447688
343.75,659953,447688
344,659953,447688
344.25,659953,447688
344.5,659953,447688
344.75,659953,447688
345,659953,447688
345.25,659953,447688
345.5,659953,447688
345.75,659953,447688
346,659953,447688
346.25,659953,447688
346.5,659953,447688
346.75,659953,447688
347,659953,447688
347.25,659953,447688
347.5,659953,447688
347.75,659953,447688
348,659953,447688
348.25,659953,447688
348.5,659953,447688
348.75,659953,447688
349,659953,447688
349.25,659953,447688
349.5,659953,447688
349.75,659953,447688
350,659953,447688
350.25,659953,447688
350.5,659953,447688
350.75,659953,447688
351,659953,447688
351.25,659953,447688
351.5,659953,447688
351.75,659953,447688
352,659953,447688
352.25,659953,447688
352.5,659953,447688
352.75,659953,447688
353,659953,447688
353.25,659953,447688
353.5,659953,447688
353.75,659953,447688
354,659953,447688
354.25,659953,447688
354.5,659953,447688
354.75,659953,447688
355,659953,447688
355.25,659953,447688
355.5,659953,447688
355.75,659953,447688
356,659953,447688
356.25,659953,447688
356.5,659953,447688
356.75,659953,447688
357,659953,447688
357.25,659953,447688
357.5,659953,447688
357.75,659953,447688
358,659953,447688
358.25,659953,447688
358.5,659953,447688
358.75,659953,447688
359,659953,447688
359.25,659953,447688
359.5,659953,447688
359.75,659953,447688
360,659953,447688
360.25,659953,447688
360.5,659953,447688
360.75,659953,447688
361,659953,447688
361.25,659953,447688
361.5,659953,447688
361.75,659953,447688
362,659953,447688
362.25,659953,447688
362.5,659953,447688
362.75,659953,447688
363,659953,447688
363.25,659953,447688
363.5,659953,447688
363.75,659953,447688
364,659953,447688
364.25,659953,447688
364.5,659953,447688
364.75,659953,447688
365,659953,447688
365.25,659953,447688
365.5,659953,447688
365.75,659953,447688
366,659953,447688
366.25,659953,447688
366.5,659953,447688
366.75,659953,447688
367,659953,447688
367.25,659953,447688
367.5,659953,447688
367.75,659953,447688
368,659953,447688
368.25,659953,447688
368.5,659953,447688
368.75,659953,447688
369,659953,447688
369.25,659953,447688
369.5,659953,447688
369.75,659953,447688
370,659953,447688
370.25,659953,447688
370.5,659953,447688
370.75,659953,447688
371,659953,447688
371.25,659953,447688
371.5,659953,447688
371.75,659953,447688
372,659953,447688
372.25,659953,447688
372.5,659953,447688
372.75,659953,447688
373,659953,447688
373.25,659953,447688
373.5,659953,447688
373.75,659953,447688
374,659953,447688
374.25,659953,447688
374.5,659953,447688
374.75,659953,447688
375,659953,447688
375.25,659953,447688
375.5,659953,447688
375.75,659953,447688
376,659953,447688
376.25,659953,447688
376.5,659953,447688
376.75,659953,447688
377,659953,447688
377.25,659953,447688
377.5,659953,447688
377.75,659953,447688
378,659953,447688
378.25,659953,447688
378.5,659953,447688
378.75,659953,447688
379,659953,447688
379.25,659953,447688
379.5,659953,447688
379.75,659953,447688
380,659953,447688
380.25,659953,447688
380.5,659953,447688
380.75,659953,447688
381,659953,447688
381.25,659953,447688
381.5,659953,447688
381.75,659953,447688
382,659953,447688
382.25,659953,447688
382.5,659953,447688
382.75,659953,447688
383,659953,447688
383.25,659953,447688
383.5,659953,447688
383.75,659953,447688
384,659953,447688
384.25,659953,447688
384.5,659953,447688
384.75,659953,447688
385,659953,447688
385.25,659953,447688
385.5,659953,447688
385.75,659953,447688
386,659953,447688
386.25,659953,447688
386.5,659953,447688
386.75,659953,447688
387,659953,447688
387.25,659953,447688
387.5,659953,447688
387.75,659953,447688
388,659953,447688
388.25,659953,447688
388.5,659953,447688
388.75,659953,447688
389,659953,447688
389.25,659953,447688
389.5,659953,447688
389.75,659953,447688
390,659953,447688
390.25,659953,447688
390.5,659953,447688
390.75,659953,447688
391,659953,447688
391.25,659953,447688
391.5,659953,447688
391.75,659953,447688
392,659953,447688
392.25,659953,447688
392.5,659953,447688
392.75,659953,447688
393,659953,447688
