Time,cumulative_mean_fraction_lambda_W
585.5,0.537552
585.75,0.537552
586,0.537552
586.25,0.537552
586.5,0.537552
586.75,0.537552
587,0.537552
587.25,0.537552
587.5,0.537552
587.75,0.537552
588,0.537552
588.25,0.537552
588.5,0.537552
588.75,0.537552
589,0.537552
589.25,0.537552
589.5,0.537552
589.75,0.537552
590,0.537552
590.25,0.537552
590.5,0.537552
590.75,0.537552
591,0.537552
591.25,0.537552
591.5,0.537552
591.75,0.537552
592,0.537552
592.25,0.537552
592.5,0.537552
592.75,0.537552
593,0.537552
593.25,0.537552
593.5,0.537552
593.75,0.537552
594,0.537552
594.25,0.537552
594.5,0.537552
594.75,0.537552
595,0.537552
595.25,0.537552
595.5,0.537552
595.75,0.537552
596,0.537552
596.25,0.537552
596.5,0.537552
596.75,0.537552
597,0.537552
597.25,0.537552
597.5,0.537552
597.75,0.537552
598,0.537552
598.25,0.537552
598.5,0.537552
598.75,0.537552
599,0.537552
599.25,0.537552
599.5,0.537552
599.75,0.537552
