Time,susceptible_lambda_H
241,47.0237
241.25,49.6591
241.5,51.7231
241.75,55.1074
242,58.9798
242.25,48.7069
242.5,65.0994
242.75,60.6022
243,55.2331
243.25,51.5666
243.5,42.3078
243.75,45.6475
244,40.1585
244.25,44.9441
244.5,48.8195
244.75,37.5596
245,37.9142
245.25,40.2633
245.5,43.361
245.75,43.2924
246,37.6083
246.25,32.3576
246.5,35.6919
246.75,44.3694
247,40.174
247.25,40.6723
247.5,47.6188
247.75,40.5681
248,42.9314
248.25,41.1522
248.5,26.8247
248.75,29.2341
249,26.6833
249.25,31.0135
249.5,31.9881
249.75,37.0016
250,37.9338
250.25,44.3827
250.5,39.3135
250.75,29.9145
251,33.8044
251.25,29.8702
251.5,26.2498
251.75,28.878
252,24.9835
252.25,24.7696
252.5,26.3135
252.75,32.5755
253,28.3765
253.25,26.4365
253.5,22.0863
253.75,25.4311
254,15.3524
254.25,22.2745
254.5,26.3865
254.75,32.241
255,28.1797
255.25,24.9776
255.5,22.0262
255.75,25.0101
256,23.6112
256.25,20.5672
256.5,24.2312
256.75,23.0611
257,18.5154
257.25,18.9262
257.5,27.8196
257.75,23.4015
258,28.1214
258.25,26.5971
258.5,22.1333
258.75,13.833
259,13.7046
259.25,11.8179
259.5,17.6598
259.75,20.5538
260,20.3628
260.25,18.4722
260.5,26.5776
260.75,26.562
261,21.9919
261.25,18.799
261.5,16.6829
261.75,18.7876
262,17.7262
262.25,18.9916
262.5,22.2208
262.75,24.8395
263,24.7482
263.25,20.9972
263.5,12.7453
263.75,12.7623
264,10.0641
264.25,9.99431
264.5,8.56756
264.75,8.99913
265,9.33149
265.25,7.59702
265.5,6.02486
265.75,7.78735
266,18.3429
266.25,15.6133
266.5,8.29698
266.75,10.9686
267,10.0535
267.25,5.03933
267.5,5.06403
267.75,4.69455
268,4.97764
268.25,5.17376
268.5,3.86355
268.75,3.79321
269,4.97197
269.25,4.73185
269.5,7.67437
269.75,7.57092
270,7.35268
270.25,6.86271
270.5,7.08782
270.75,6.5817
271,5.7025
271.25,5.87965
271.5,6.64544
271.75,8.35272
272,7.99357
272.25,8.01773
272.5,8.74145
272.75,7.5108
273,4.68788
273.25,3.42927
273.5,3.25947
273.75,3.49251
274,5.12828
274.25,4.81948
274.5,3.92978
274.75,3.39742
275,9.25028
275.25,11.6231
275.5,7.64775
275.75,7.41176
276,5.40905
276.25,5.38816
276.5,5.28702
276.75,6.21953
277,4.75896
277.25,5.57598
277.5,5.06866
277.75,4.25128
278,4.73542
278.25,4.34036
278.5,5.23779
278.75,5.0063
279,6.7183
279.25,7.14221
279.5,5.50298
279.75,4.11202
280,8.27429
280.25,6.35933
280.5,3.02433
280.75,2.54322
281,2.48722
281.25,4.76128
281.5,5.74821
281.75,5.29312
282,4.63617
282.25,4.78503
282.5,5.57088
282.75,5.28699
283,5.5543
283.25,6.2985
283.5,3.46037
283.75,3.03742
284,2.65018
284.25,2.40868
284.5,2.19771
284.75,1.63316
285,3.35364
285.25,3.35364
285.5,3.37182
285.75,1.65331
286,3.28631
286.25,1.48304
286.5,1.4265
286.75,3.1752
287,2.00548
287.25,3.66697
287.5,3.8414
287.75,2.21963
288,2.24068
288.25,2.24068
288.5,1.79924
288.75,1.00574
289,1.40626
289.25,2.01464
289.5,5.51448
289.75,5.3509
290,4.49984
290.25,1.71773
290.5,1.71164
290.75,1.20238
291,1.60972
291.25,1.19206
291.5,1.03446
291.75,1.03687
292,1.04999
292.25,1.04999
292.5,0.472634
292.75,0.421577
293,2.88766
293.25,4.2684
293.5,0.593601
293.75,0.668651
294,0.668651
294.25,1.0106
294.5,2.51192
294.75,2.98381
295,1.9719
295.25,1.79244
295.5,3.198
295.75,1.16265
296,0.937
296.25,0.48161
296.5,0.800114
296.75,0.700467
297,0.292118
297.25,0.978658
297.5,1.24836
297.75,1.56394
298,3.33199
298.25,3.33201
298.5,0.968358
298.75,0.968358
299,2.32827
299.25,2.33121
299.5,1.85725
299.75,1.60127
300,1.80276
300.25,1.62605
300.5,0.931547
300.75,0.931547
301,0.871039
301.25,0.861689
301.5,0.861689
301.75,0.861689
302,0.180505
302.25,0.180563
302.5,0.180563
302.75,0.0784471
303,0.0784471
303.25,0.0961094
303.5,0.0925054
303.75,0.0925054
304,0.0925054
304.25,0.0925054
304.5,0.0925054
304.75,0.293209
305,0.123255
305.25,1.21816
305.5,0.090513
305.75,0.0996134
306,0.0996134
306.25,0.0996134
306.5,0.0996134
306.75,1.541
307,0.821062
307.25,1.18181
307.5,0.101975
307.75,0.101975
308,0.101975
308.25,0.101975
308.5,0.101975
308.75,0.0975705
309,0.098191
309.25,0.098191
309.5,0.0985012
309.75,0.0985012
310,0.0985012
310.25,0.0985012
310.5,0.0985012
310.75,0.0995415
311,0.0995415
311.25,0.0995415
311.5,0.0995415
311.75,0.0384664
312,0.13407
312.25,0.13407
312.5,0.0424484
312.75,0.0333479
313,0.0290412
313.25,0.0446633
313.5,0.0446633
313.75,0.0446633
314,0.0514789
314.25,0.0514789
314.5,0.0310322
314.75,0.0310322
315,0.0299081
315.25,0.0299081
315.5,0.0299081
315.75,0.0239352
316,0.0239352
316.25,0.0239352
316.5,0.0239352
316.75,0.0239352
317,0.0239352
317.25,0.0215276
317.5,0.262149
317.75,0.721964
318,0.721964
318.25,0.702928
318.5,0.702928
318.75,0.752747
319,0.702928
319.25,0.702928
319.5,0.702928
319.75,0.702928
320,0.702928
320.25,0.702928
320.5,0
320.75,0
321,0
321.25,0
321.5,0
321.75,0.316877
322,0.475316
322.25,0.475316
322.5,4.28146
322.75,0.475321
323,0.356487
323.25,0.380686
323.5,0.380686
323.75,0.380686
324,0.261857
324.25,0.261857
324.5,0.0362987
324.75,0.0362987
325,0.0362987
325.25,0.0362987
325.5,0.0362987
325.75,0.0370786
326,0.0370786
326.25,0.0370786
326.5,0.0370786
326.75,0.0370786
327,0.0370786
327.25,0.0362987
327.5,0.402318
327.75,0.0397077
328,0.0414122
328.25,0.0414122
328.5,0.0414122
328.75,0.0414122
329,0.0414122
329.25,0.0414122
329.5,0.0414122
329.75,0.0414122
330,0.0414122
330.25,0.0414122
330.5,0.00511349
330.75,0.00511349
331,0.00511349
331.25,0.00511349
331.5,0.00511349
331.75,0.00511349
332,0.00511349
332.25,0.00511349
332.5,0
332.75,0
333,0
333.25,0
333.5,0
333.75,0
334,0
334.25,0
334.5,0
334.75,0
335,0
335.25,0
335.5,0
335.75,0
336,0
336.25,0
336.5,0
336.75,0
337,0
337.25,0
337.5,0
337.75,0
338,0
338.25,0
338.5,0
338.75,1.06208
339,0
339.25,0
339.5,0
339.75,0
340,0
340.25,0
340.5,0
340.75,0
341,0
341.25,0
341.5,0
341.75,0
342,0
342.25,0
342.5,0
342.75,0
343,0
343.25,0
343.5,0
343.75,0
344,0
344.25,0
344.5,0
344.75,0
345,0
345.25,0
345.5,0
345.75,0
346,0
346.25,0
346.5,0
346.75,0
347,0
347.25,0
347.5,0
347.75,0
348,0
348.25,0
348.5,0
348.75,0
349,0
349.25,0
349.5,0
349.75,0
350,0
350.25,0
350.5,0
350.75,0
351,0
351.25,0
351.5,0
351.75,0
352,0
352.25,0
352.5,0
352.75,0
353,0
353.25,0
353.5,0
353.75,0
354,0
354.25,0
354.5,0
354.75,0
355,0
355.25,0
355.5,0
355.75,0
356,0
356.25,0
356.5,0
356.75,0
357,0
357.25,0
357.5,0
357.75,0
358,0
358.25,0
358.5,0
358.75,0
359,0
359.25,0
359.5,0
359.75,0
360,0
360.25,0
360.5,0
360.75,0
361,0
361.25,0
361.5,0
361.75,0
362,0
362.25,0
362.5,0
362.75,0
363,0
363.25,0
363.5,0
363.75,0
364,0
364.25,0
364.5,0
364.75,0
365,0
365.25,0
365.5,0
365.75,0
366,0
366.25,0
366.5,0
366.75,0
367,0
367.25,0
367.5,0
367.75,0
368,0
368.25,0
368.5,0
368.75,0
369,0
369.25,0
369.5,0
369.75,0
370,0
370.25,0
370.5,0
370.75,0
371,0
371.25,0
371.5,0
371.75,0
372,0
372.25,0
372.5,0
372.75,0
373,0
373.25,0
373.5,0
373.75,0
374,0
374.25,0
374.5,0
374.75,0
375,0
375.25,0
375.5,0
375.75,0
376,0
376.25,0
376.5,0
376.75,0
377,0
377.25,0
377.5,0
377.75,0
378,0
378.25,0
378.5,0
378.75,0
379,0
379.25,0
379.5,0
379.75,0
380,0
380.25,0
380.5,0
380.75,0
381,0
381.25,0
381.5,0
381.75,0
382,0
382.25,0
382.5,0
382.75,0
383,0
383.25,0
383.5,0
383.75,0
384,0
384.25,0
384.5,0
384.75,0
385,0
385.25,0
385.5,0
385.75,0
386,0
386.25,0
386.5,0
386.75,0
387,0
387.25,0
387.5,0
387.75,0
388,0
388.25,0
388.5,0
388.75,0
389,0
389.25,0
389.5,0
389.75,0
390,0
390.25,0
390.5,0
390.75,0
391,0
391.25,0
391.5,0
391.75,0
392,0
392.25,0
392.5,0
392.75,0
393,0
393.25,0
393.5,0
393.75,0
394,0
394.25,0
394.5,0
394.75,0
395,0
395.25,0
395.5,0
395.75,0
396,0
396.25,0
396.5,0
396.75,0
397,0
397.25,0
397.5,0
397.75,0
398,0
398.25,0
398.5,0
398.75,0
399,0
399.25,0
399.5,0
399.75,0
400,0
400.25,0
400.5,0
400.75,0
401,0
401.25,0
401.5,0
401.75,0
402,0
402.25,0
402.5,0
402.75,0
403,0
403.25,0
403.5,0
403.75,0
404,0
404.25,0
404.5,0
404.75,0
405,0
405.25,0
405.5,0
405.75,0
406,0
406.25,0
406.5,0
406.75,0
407,0
407.25,0
407.5,0
407.75,0
408,0
408.25,0
408.5,0
408.75,0
409,0
409.25,0
409.5,0
409.75,0
410,0
410.25,0
410.5,0
410.75,0
411,0
411.25,0
411.5,0
411.75,0
412,0
412.25,0
412.5,0
412.75,0
413,0
413.25,0
413.5,0
413.75,0
414,0
414.25,0
