Time,susceptible_lambda_C
193.75,284.493
194,284.324
194.25,281.242
194.5,279.88
194.75,278.58
195,277.909
195.25,276.894
195.5,278.129
195.75,273.783
196,267.569
196.25,262.312
196.5,261.878
196.75,256.979
197,250.596
197.25,253.573
197.5,250.058
197.75,248.84
198,242.943
198.25,239.481
198.5,236.162
198.75,228.803
199,226.506
199.25,223.902
199.5,220.34
199.75,215.422
200,212.212
200.25,209.239
200.5,203.879
200.75,201.864
201,203.281
201.25,200.681
201.5,196.733
201.75,192.847
202,190.832
202.25,191.218
202.5,189.532
202.75,184.074
203,181.497
203.25,177.57
203.5,173.393
203.75,172.6
204,169.368
204.25,169.152
204.5,165.534
204.75,166.455
205,160.743
205.25,159.804
205.5,158.796
205.75,155.904
206,151.117
206.25,150.377
206.5,149.909
206.75,148.569
207,146.333
207.25,143.789
207.5,142.982
207.75,138.404
208,135.363
208.25,134.545
208.5,133.676
208.75,132.394
209,134.242
209.25,134.297
209.5,135.613
209.75,133.666
210,133.129
210.25,128.664
210.5,126.312
210.75,125.18
211,121.89
211.25,116.304
211.5,111.277
211.75,110.34
212,109.467
212.25,108.46
212.5,107.626
212.75,105.582
213,104.404
213.25,104.409
213.5,103.071
213.75,101.647
214,99.1228
214.25,96.3543
214.5,94.6737
214.75,96.3214
215,95.6266
215.25,97.0779
215.5,102.021
215.75,110.13
216,112.489
216.25,116.458
216.5,113.884
216.75,113.894
217,113.312
217.25,100.359
217.5,100.618
217.75,99.3675
218,97.7588
218.25,97.1335
218.5,97.4921
218.75,98.7723
219,96.3116
219.25,95.0735
219.5,95.5904
219.75,94.6784
220,94.8182
220.25,95.1875
220.5,95.5119
220.75,93.8976
221,92.5893
221.25,91.2865
221.5,89.9422
221.75,86.0272
222,85.6561
222.25,85.1793
222.5,84.0981
222.75,82.8851
223,82.6515
223.25,80.4772
223.5,78.4676
223.75,80.1209
224,78.9059
224.25,78.3958
224.5,77.7908
224.75,74.4032
225,72.9906
225.25,70.7201
225.5,68.6976
225.75,68.3986
226,69.7975
226.25,69.4295
226.5,66.9345
226.75,65.1689
227,65.1345
227.25,65.8181
227.5,63.4615
227.75,63.4669
228,62.9329
228.25,60.9761
228.5,71.9511
228.75,62.5438
229,53.3964
229.25,51.7344
229.5,51.6551
229.75,51.5521
230,50.8445
230.25,51.6397
230.5,51.2944
230.75,51.1807
231,50.5898
231.25,49.998
231.5,49.5468
231.75,48.5084
232,47.7761
232.25,46.139
232.5,46.3716
232.75,44.7094
233,43.2136
233.25,41.6224
233.5,41.0475
233.75,40.2889
234,39.262
234.25,39.4197
234.5,39.0677
234.75,38.4184
235,39.2468
235.25,38.8498
235.5,38.604
235.75,38.8175
236,39.3142
236.25,38.3178
236.5,38.0776
236.75,37.8291
237,38.0726
237.25,37.0373
237.5,32.247
237.75,31.6215
238,32.1803
238.25,30.9356
238.5,30.5044
238.75,31.299
239,29.4662
239.25,29.2187
239.5,29.4271
239.75,28.4416
240,28.9331
240.25,28.5295
240.5,29.1307
240.75,29.0423
241,28.1262
241.25,28.1029
241.5,27.0909
241.75,26.2171
242,26.7682
242.25,26.7894
242.5,28.4942
242.75,28.0789
243,27.8055
243.25,26.9367
243.5,25.3928
243.75,24.3742
244,24.1679
244.25,24.4396
244.5,24.6854
244.75,24.3503
245,24.6444
245.25,24.435
245.5,23.8451
245.75,23.7409
246,24.1395
246.25,22.6568
246.5,21.7809
246.75,21.3392
247,21.2209
247.25,21.3089
247.5,21.84
247.75,20.7295
248,20.769
248.25,21.0416
248.5,20.7852
248.75,20.4339
249,20.4291
249.25,18.0844
249.5,17.8898
249.75,18.1864
250,17.6029
250.25,17.5138
250.5,17.4508
250.75,17.0828
251,17.2002
251.25,16.7485
251.5,16.4896
251.75,16.2329
252,15.7475
252.25,15.7612
252.5,15.5832
252.75,16.2287
253,16.5196
253.25,15.9605
253.5,15.2005
253.75,14.5572
254,14.1512
254.25,13.342
254.5,11.1863
254.75,11.0496
255,9.96404
255.25,9.68899
255.5,10.2128
255.75,9.94244
256,9.34801
256.25,9.31897
256.5,9.73646
256.75,9.35655
257,8.95872
257.25,9.02347
257.5,9.32488
257.75,9.18356
258,9.16899
258.25,9.53481
258.5,9.2892
258.75,9.18831
259,8.47503
259.25,8.29246
259.5,8.17393
259.75,8.49788
260,8.21041
260.25,8.44684
260.5,9.06168
260.75,9.77029
261,10.1779
261.25,9.45872
261.5,8.90601
261.75,8.65081
262,8.14635
262.25,8.46041
262.5,7.72882
262.75,7.75957
263,7.51645
263.25,6.57122
263.5,6.34501
263.75,6.10815
264,6.10496
264.25,5.84718
264.5,5.80473
264.75,5.79367
265,6.0551
265.25,4.79722
265.5,4.74211
265.75,5.20544
266,5.54363
266.25,5.58368
266.5,5.54008
266.75,5.97952
267,6.18971
267.25,6.02262
267.5,5.22579
267.75,5.12816
268,4.72525
268.25,4.16484
